station,found_2026,n_records,min_ts,max_ts,block_lo,block_hi,nearest,api_calls,error
390713- Jairampur PMS -Shallow,True,544,2026-01-01T00:00:00,2026-05-30T00:00:00,0,544,,21,
750128- PMS Sulemapur -Medium,False,0,,,,,390713- Jairampur PMS -Shallow,20,
750523- Kakalpur PMS -Medium,True,242,2026-01-01T06:00:00,2026-06-02T18:00:00,544,786,,20,
750718- Primary Sch Matuka -Medium,True,106,2026-01-01T00:00:00,2026-02-02T00:00:00,786,892,,20,
750825- Primary Sch Shivrampur -Medium,True,57,2026-01-01T00:00:00,2026-01-14T18:41:00,892,949,,21,
ASHADHA PRATHMIK VIDYALAYA,False,0,,,,,390713- Jairampur PMS -Shallow,20,
Aadarsh Kisaan Inter College Bhabhuwa,True,12,2026-08-12T00:00:00,2026-08-15T18:00:00,949,961,,20,
Aadarsh Prathmik Vidhyalaya Mahua,True,624,2026-01-01T00:00:00,2026-08-15T18:00:00,961,1585,,20,
Aagan Waadi Kender Dwarkapur,True,548,2026-01-01T00:00:00,2026-08-15T18:00:00,1585,2133,,20,
Aagan Wadi Kendra Chandni,True,868,2026-01-02T00:00:00,2026-08-28T18:00:00,2531,3399,,21,
Aaganwadi Kender Kakrawali,True,386,2026-05-13T12:00:00,2026-08-28T18:00:00,2133,2519,,21,
Aaganwadi Kender Khanjarpur,True,12,2026-08-12T00:00:00,2026-08-15T18:00:00,2519,2531,,21,
Aaganwadi Kendra Pakri Bazaar,True,870,2026-01-01T00:00:00,2026-08-28T18:00:00,3399,4269,,21,
Aanganwadi Kendra,True,794,2026-01-01T00:00:00,2026-07-23T12:00:00,5063,5857,,21,
Aanganwadi kendra,True,794,2026-01-01T00:00:00,2026-07-23T06:00:00,4269,5063,,21,
"Aanganwadi kendra, Barhara",True,762,2026-01-01T00:00:00,2026-07-23T06:00:00,5857,6619,,21,
Aasao Pura,True,520,2026-02-01T00:00:00,2026-08-28T18:00:00,6619,7139,,21,
Abdullahpur Primary School -Medium,True,573,2026-01-01T00:00:00,2026-05-30T00:00:00,7139,7712,,20,
Abhauli (UP-153),True,153,2026-01-01T00:00:00,2026-02-08T00:00:00,7712,7865,,20,
Adari_2,True,462,2026-02-01T00:00:00,2026-08-28T18:00:00,7865,8327,,21,
"Adarsh Primary School, Dubar Kalan",True,810,2026-01-01T00:00:00,2026-08-28T12:00:00,8327,9137,,21,
Agan Wadi Kendra Kuchendu,True,868,2026-01-01T00:00:00,2026-08-28T18:00:00,9137,10005,,20,
Aganwadi Kendra Rupauli,True,784,2026-01-01T12:00:00,2026-07-23T12:00:00,10005,10789,,21,
Agra City (UP-017),True,566,2026-01-01T12:00:00,2026-05-30T06:00:00,10789,11355,,21,
Ahmad Ganj,True,440,2026-02-01T00:00:00,2026-08-26T06:00:00,11355,11795,,21,
Ahmadpur Savant (UP-163),True,567,2026-01-01T06:00:00,2026-06-03T18:00:00,11795,12362,,20,
Airayan  (UP-023),True,495,2026-01-01T00:00:00,2026-05-30T00:00:00,12362,12857,,21,
Alakchandra Inter college Bhinga,True,799,2026-01-01T00:00:00,2026-08-28T12:00:00,12857,13656,,21,
Aligarh Chandaus  Somana,True,826,2026-01-01T00:00:00,2026-08-24T00:00:00,15272,16098,,21,
Aligarh Chandaus Chuharpur,True,733,2026-01-23T10:50:00,2026-08-28T18:00:00,13656,14389,,21,
Aligarh Chandaus Lohput,False,0,,,,,Ahmadpur Savant (UP-163),21,
Aligarh Chandaus Maharajpur,True,883,2026-01-01T00:00:00,2026-08-28T18:00:00,14389,15272,,21,
Aligarh Gonda Chuhurpur Kinala,True,491,2026-01-12T00:00:00,2026-08-28T18:00:00,16098,16589,,21,
Aligarh Jawa Bahadurpur Kota,True,782,2026-01-01T00:00:00,2026-08-28T00:00:00,16589,17371,,21,
Aligarh Jawa Jamalpur Siya,True,730,2026-01-01T00:00:00,2026-08-28T18:00:00,17371,18101,,20,
