station,trend_direction,trend_m_yr,level_now,proj_90d,lo_90d,hi_90d,proj_180d,lo_180d,hi_180d,caution,critical,multi_cov_90,priority,narrative
390713- Jairampur PMS -Shallow,declining,-0.199,-0.266,-0.525,-0.54,-0.431,-0.524,-0.539,-0.431,-0.372,-0.542,0.053,MONITOR,"390713- Jairampur PMS -Shallow: level -0.27 m, declining 0.20 m/yr. projected +90d -0.53 m, +180d -0.52 m. caution -0.37 m, critical -0.54 m. -> MONITOR: watch trend, reassess quarterly. (long-horizon forecast weak: recursive 90% coverage 5% < 60%)"
750128- PMS Sulemapur -Medium,stable,-0.009,-12.009,-9.706,-9.822,-9.568,-9.685,-9.835,-9.55,-9.66,-9.723,0.773,PRIORITY,"750128- PMS Sulemapur -Medium: level -12.01 m, stable 0.01 m/yr. projected +90d -9.71 m, +180d -9.69 m. caution -9.66 m, critical -9.72 m. -> PRIORITY: investigate recharge status / step up monitoring."
750523- Kakalpur PMS -Medium,indeterminate,,-13.769,-12.328,-12.521,-12.118,-12.368,-12.589,-12.206,-14.209,-14.707,0.67,OK,"750523- Kakalpur PMS -Medium: level -13.77 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -12.33 m, +180d -12.37 m. caution -14.21 m, critical -14.71 m. -> OK: no immediate action."
750718- Primary Sch Matuka -Medium,declining,-2.566,-13.74,-4.816,-17.076,-16.112,-6.701,-17.094,-16.102,-16.725,-18.404,0.117,MONITOR,"750718- Primary Sch Matuka -Medium: level -13.74 m, declining 2.57 m/yr. projected +90d -4.82 m, +180d -6.70 m. caution -16.73 m, critical -18.40 m. -> MONITOR: watch trend, reassess quarterly. (long-horizon forecast weak: recursive 90% coverage 12% < 60%)"
750825- Primary Sch Shivrampur -Medium,indeterminate,,-9.522,-12.018,-12.49,-11.834,-12.721,-12.39,-11.813,-15.486,-16.707,0.064,OK,"750825- Primary Sch Shivrampur -Medium: level -9.52 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -12.02 m, +180d -12.72 m. caution -15.49 m, critical -16.71 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 6% < 60%)"
ASHADHA PRATHMIK VIDYALAYA,declining,-1.274,-6.135,-6.724,-7.401,-6.527,-6.241,-7.057,-6.126,-14.739,-14.839,0.776,MONITOR,"ASHADHA PRATHMIK VIDYALAYA: level -6.13 m, declining 1.27 m/yr. projected +90d -6.72 m, +180d -6.24 m. caution -14.74 m, critical -14.84 m. -> MONITOR: watch trend, reassess quarterly."
Aadarsh Kisaan Inter College Bhabhuwa,indeterminate,,-9.135,10.767,6.162,16.291,10.515,5.849,16.189,-20.934,-22.141,0.047,OK,"Aadarsh Kisaan Inter College Bhabhuwa: level -9.13 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d 10.77 m, +180d 10.52 m. caution -20.93 m, critical -22.14 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 5% < 60%)"
Aadarsh Prathmik Vidhyalaya Mahua,indeterminate,,-5.546,-6.09,-6.273,-5.644,-6.576,-6.734,-6.128,-7.17,-7.542,0.371,OK,"Aadarsh Prathmik Vidhyalaya Mahua: level -5.55 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -6.09 m, +180d -6.58 m. caution -7.17 m, critical -7.54 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 37% < 60%)"
Aagan Waadi Kender Dwarkapur,indeterminate,,-20.736,-22.329,-22.376,-21.962,-22.33,-22.376,-21.962,-21.67,-22.206,0.449,PRIORITY,"Aagan Waadi Kender Dwarkapur: level -20.74 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -22.33 m, +180d -22.33 m. caution -21.67 m, critical -22.21 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 45% < 60%)"
Aagan Wadi Kendra Chandni,indeterminate,,-0.95,-3.082,-3.507,-0.435,-4.008,-4.353,-1.207,-5.459,-6.962,0.126,OK,"Aagan Wadi Kendra Chandni: level -0.95 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -3.08 m, +180d -4.01 m. caution -5.46 m, critical -6.96 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 13% < 60%)"
Aaganwadi Kender Kakrawali,indeterminate,,-2.136,-3.948,-4.175,-3.768,-4.771,-4.94,-4.562,-5.456,-6.307,0.295,OK,"Aaganwadi Kender Kakrawali: level -2.14 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -3.95 m, +180d -4.77 m. caution -5.46 m, critical -6.31 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 30% < 60%)"
Aaganwadi Kender Khanjarpur,indeterminate,,-10.448,-9.922,-10.009,-9.897,-9.925,-10.008,-9.896,-10.298,-10.667,0.11,MONITOR,"Aaganwadi Kender Khanjarpur: level -10.45 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -9.92 m, +180d -9.93 m. caution -10.30 m, critical -10.67 m. -> MONITOR: watch trend, reassess quarterly. (long-horizon forecast weak: recursive 90% coverage 11% < 60%)"
Aaganwadi Kendra Pakri Bazaar,indeterminate,,-4.094,-4.109,-4.201,-4.006,-4.618,-4.746,-4.359,-4.34,-4.562,0.657,PRIORITY,"Aaganwadi Kendra Pakri Bazaar: level -4.09 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -4.11 m, +180d -4.62 m. caution -4.34 m, critical -4.56 m. -> PRIORITY: investigate recharge status / step up monitoring."
Aanganwadi Kendra,indeterminate,,-11.609,-8.892,-10.633,4.182,-5.529,-10.785,4.239,-11.059,-11.414,0.027,PRIORITY,"Aanganwadi Kendra: level -11.61 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -8.89 m, +180d -5.53 m. caution -11.06 m, critical -11.41 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 3% < 60%)"
Aanganwadi kendra,indeterminate,,-22.025,-21.274,-22.066,-17.534,-26.618,-23.395,-17.726,-21.934,-22.448,0.862,PRIORITY,"Aanganwadi kendra: level -22.02 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -21.27 m, +180d -26.62 m. caution -21.93 m, critical -22.45 m. -> PRIORITY: investigate recharge status / step up monitoring."
"Aanganwadi kendra, Barhara",indeterminate,,-12.216,-3.331,-3.48,-2.65,-1.639,-3.251,-2.259,-3.383,-3.574,0.431,PRIORITY,"Aanganwadi kendra, Barhara: level -12.22 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -3.33 m, +180d -1.64 m. caution -3.38 m, critical -3.57 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 43% < 60%)"
Aasao Pura,indeterminate,,-0.95,9.888,27.146,27.451,29.237,27.405,27.586,27.1,27.1,0.31,PRIORITY,"Aasao Pura: level -0.95 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d 9.89 m, +180d 29.24 m. caution 27.10 m, critical 27.10 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 31% < 60%)"
Abdullahpur Primary School -Medium,declining,-0.321,-18.6,-19.553,-19.816,-19.218,-19.742,-19.812,-19.626,-19.595,-19.757,0.701,MONITOR,"Abdullahpur Primary School -Medium: level -18.60 m, declining 0.32 m/yr. projected +90d -19.55 m, +180d -19.74 m. caution -19.59 m, critical -19.76 m. -> MONITOR: watch trend, reassess quarterly."
Abhauli (UP-153),declining,-3.674,-14.482,-13.856,-13.936,-12.847,-13.938,-13.955,-12.847,-10.16,-14.03,0.341,PRIORITY,"Abhauli (UP-153): level -14.48 m, declining 3.67 m/yr. projected +90d -13.86 m, +180d -13.94 m. caution -10.16 m, critical -14.03 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 34% < 60%)"
Adari_2,indeterminate,,26.09,23.907,24.052,27.366,23.521,24.109,27.389,28.3,14.094,0.111,MONITOR,"Adari_2: level 26.09 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d 23.91 m, +180d 23.52 m. caution 28.30 m, critical 14.09 m. -> MONITOR: watch trend, reassess quarterly. (long-horizon forecast weak: recursive 90% coverage 11% < 60%)"
"Adarsh Primary School, Dubar Kalan",rising,0.887,-2.603,-1.701,-2.157,-1.566,-1.699,-2.159,-1.564,-2.901,-4.824,0.477,OK,"Adarsh Primary School, Dubar Kalan: level -2.60 m, rising 0.89 m/yr. projected +90d -1.70 m, +180d -1.70 m. caution -2.90 m, critical -4.82 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 48% < 60%)"
Agan Wadi Kendra Kuchendu,indeterminate,,-20.694,-29.032,-30.57,-23.621,-31.062,-31.385,-23.746,-20.661,-27.695,0.284,PRIORITY,"Agan Wadi Kendra Kuchendu: level -20.69 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -29.03 m, +180d -31.06 m. caution -20.66 m, critical -27.70 m. -> PRIORITY: investigate recharge status / step up monitoring. (long-horizon forecast weak: recursive 90% coverage 28% < 60%)"
Aganwadi Kendra Rupauli,indeterminate,,-9.71,-10.284,-10.42,-8.236,-8.748,-8.724,-8.206,-10.09,-10.328,0.509,OK,"Aganwadi Kendra Rupauli: level -9.71 m, trend indeterminate (sensor-blocks). Recent record shows a sensor step-block; direction not trustworthy. projected +90d -10.28 m, +180d -8.75 m. caution -10.09 m, critical -10.33 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 51% < 60%)"
Agra City (UP-017),rising,0.392,-26.426,-28.064,-28.106,-27.984,-28.061,-28.103,-27.984,-27.801,-28.247,0.026,OK,"Agra City (UP-017): level -26.43 m, rising 0.39 m/yr. projected +90d -28.06 m, +180d -28.06 m. caution -27.80 m, critical -28.25 m. -> OK: no immediate action. (long-horizon forecast weak: recursive 90% coverage 3% < 60%)"
