station,label,reason,coverage,shallow_error,gwl_span,n_obs,tail_half_width,half_width_at_horizon,horizon_days,max_depth
Asafpur (UP-077),reliable,held-out calibrated coverage at/above floor,0.9572,0.0219,2.123,6307,0.6043,0.5901,90.0,2168
Amgaon (UP-067),reliable,held-out calibrated coverage at/above floor,0.8293,0.1164,87.548,6298,16.5794,6.8181,90.0,1511
Agra City (UP-017),directional,90-day interval width 1.47m exceeds half the observed range; direction-only beyond mid-range,0.9033,0.0349,2.383,6116,1.819,1.4729,90.0,2162
Airayan  (UP-023),reliable,held-out calibrated coverage at/above floor,0.9515,0.0387,9.985,6102,4.9406,3.3496,90.0,2101
Badagaon (UP-049),reliable,held-out calibrated coverage at/above floor,0.9522,0.2321,9.516,5870,3.9573,3.6289,90.0,1604
Bahjoi (UP-128),directional,90-day interval width 1.46m exceeds half the observed range; direction-only beyond mid-range,0.8214,0.0345,2.729,5859,1.8807,1.4599,90.0,2053
Baba BelkharNath Dham (UP-045),reliable,held-out calibrated coverage at/above floor,0.9152,0.0482,2.856,5839,1.1771,1.1771,90.0,2074
Awagarh (UP-005),reliable,held-out calibrated coverage at/above floor,0.9203,0.0993,48.407,5579,4.7509,0.3061,90.0,2131
Amauli (UP-027),reliable,held-out calibrated coverage at/above floor,0.9902,0.8927,7.07,5736,5.799,2.1058,90.0,1955
Aspur Deosara (UP-040),directional,90-day interval width 3.00m exceeds half the observed range; direction-only beyond mid-range,0.9784,0.1282,5.855,5675,3.0358,3.0008,90.0,1358
Badalpur (UP-091),reliable,held-out calibrated coverage at/above floor,0.9514,0.0182,3.614,5471,1.1713,0.6675,90.0,1470
Bahuwa (UP-024),reliable,held-out calibrated coverage at/above floor,0.9601,0.0782,4.588,5004,1.5459,0.8095,90.0,1434
Abhauli (UP-153),reliable,held-out calibrated coverage at/above floor,0.9754,0.1077,12.886,5002,2.4781,1.1702,90.0,1129
Ahmadpur Savant (UP-163),reliable,held-out calibrated coverage at/above floor,0.9457,1.0974,5.498,4997,3.1953,2.2406,90.0,2010
"Amroha Forest Department, Shallow",reliable,held-out calibrated coverage at/above floor,0.9277,0.0454,2.55,4825,1.1432,0.3511,90.0,1771
Allahabad City (UP-046),reliable,held-out calibrated coverage at/above floor,0.8926,0.3696,27.446,4817,9.5098,6.0466,90.0,937
"Amroha Forest Department, Medium",reliable,held-out calibrated coverage at/above floor,0.9572,0.1321,2.01,4792,1.0779,0.4124,90.0,1371
Aurai (UP-150),reliable,held-out calibrated coverage at/above floor,0.9554,0.1489,14.394,4719,5.7513,3.507,90.0,2091
Ashapur Dak Banglow-Malawan-Medium,reliable,held-out calibrated coverage at/above floor,0.843,0.051,2.014,4673,1.5422,0.946,90.0,1870
Amlour,reliable,held-out calibrated coverage at/above floor,0.961,0.1074,79.32,4480,40.6499,26.9719,90.0,1489
Amchurnirua,reliable,held-out calibrated coverage at/above floor,0.9791,0.0466,34.01,4422,30.828,14.0433,90.0,1491
Adari_2,directional,90-day interval width 18.89m exceeds half the observed range; direction-only beyond mid-range,0.8273,0.1903,30.3,4402,23.5209,18.8909,90.0,1075
Amliha_1,reliable,held-out calibrated coverage at/above floor,0.9637,0.045,38.47,4388,35.5393,1.7906,90.0,1068
Bagadari,reliable,held-out calibrated coverage at/above floor,0.9695,1.1514,41.59,4384,38.9903,3.1811,90.0,1076
Ashapur Dak Banglow-Malawan-Shallow,reliable,held-out calibrated coverage at/above floor,0.9028,0.0742,3.841,4285,2.0225,0.744,90.0,1696
Aasao Pura,reliable,held-out calibrated coverage at/above floor,0.9236,0.0282,33.62,4244,35.3907,1.9703,90.0,1108
Atrada Pi_1,reliable,held-out calibrated coverage at/above floor,0.8974,3.1475,53.36,4161,53.0587,3.944,90.0,1569
Badhai Khurd Pr. Vid.,reliable,held-out calibrated coverage at/above floor,0.9168,0.4948,19.37,4144,2.9339,1.4298,90.0,1672
Badhouli,reliable,held-out calibrated coverage at/above floor,0.9298,0.4328,64.65,4106,65.1243,2.024,90.0,1446
Babina Rular,reliable,held-out calibrated coverage at/above floor,0.9535,0.0306,35.17,4095,31.3403,0.1247,90.0,1418
Alipur,reliable,held-out calibrated coverage at/above floor,0.8747,0.0451,5.427,4069,1.7016,1.1947,90.0,1633
Aswaniya Pr. Vid.,reliable,held-out calibrated coverage at/above floor,0.919,0.34,5.495,4067,3.0791,1.4517,90.0,1675
Alipur Aterna_1,reliable,held-out calibrated coverage at/above floor,0.9873,8.8184,51.4,4061,44.8352,13.7125,90.0,1438
Baije mau,reliable,held-out calibrated coverage at/above floor,0.9808,0.0564,56.38,4019,56.7985,0.1842,90.0,1040
Baghora_1,reliable,held-out calibrated coverage at/above floor,0.8111,0.0364,44.34,4008,44.0174,0.1459,90.0,1635
Baghura_1,reliable,held-out calibrated coverage at/above floor,0.882,0.0534,37.22,3971,33.6706,4.7084,90.0,1100
