station,n_test,one_step_rmse,one_step_mae,one_step_r2,multi_step_rmse,multi_step_mae,multi_step_r2,multi_coverage_90,multi_interval_width,error
390713- Jairampur PMS -Shallow,282,0.078,0.0589,0.8566,0.23235740356787635,0.18861358142152745,-0.27387622536213074,0.05319148936170213,0.11300314962863922,
750128- PMS Sulemapur -Medium,278,0.1567,0.0211,0.0833,0.16481842429094848,0.0546414417019851,-0.014696708727904628,0.7733812949640287,0.07943281531333923,
750523- Kakalpur PMS -Medium,315,0.358,0.2884,-0.1258,0.5018931581756817,0.3975157534160311,-1.2121153020152606,0.6698412698412698,0.745249330997467,
750718- Primary Sch Matuka -Medium,556,8.3969,5.0453,-1.2845,5.73817836384537,1.821776798632505,-0.0668116067371396,0.11690647482014388,0.3662183880805969,
750825- Primary Sch Shivrampur -Medium,345,15.2366,8.6659,-2.0978,9.402122068138539,3.4997728193863584,-0.1795834003980279,0.06376811594202898,0.6172332763671875,
ASHADHA PRATHMIK VIDYALAYA,697,0.2553,0.1741,0.4907,0.5227613306327629,0.39909422785514054,-1.1362121222564197,0.776183644189383,0.8851215243339539,
Aadarsh Kisaan Inter College Bhabhuwa,214,19.5957,16.7482,-108.5446,19.670807358520744,16.99543199963436,-109.38539728149053,0.04672897196261682,7.964038372039795,
Aadarsh Prathmik Vidhyalaya Mahua,334,0.212,0.1212,0.8026,0.7882141291717524,0.5081358507122109,-1.7280822605031108,0.3712574850299401,0.7171351313591003,
Aagan Waadi Kender Dwarkapur,336,0.1172,0.0962,0.9209,0.4586034105669162,0.33079655147734155,-0.21122803793097344,0.4494047619047619,0.43526187539100647,
Aagan Wadi Kendra Chandni,348,0.3297,0.2127,0.971,1.8677794234354148,1.6942894259540515,0.06829544363257223,0.12643678160919541,3.0700528621673584,
Aaganwadi Kender Kakrawali,288,0.2596,0.2064,0.9405,1.0598379120135608,0.6318356248935063,0.008401290592390476,0.2951388888888889,0.4005710482597351,
Aaganwadi Kender Khanjarpur,327,0.0628,0.0392,0.9442,1.2591511167589027,0.8248620127406688,-21.412748774617576,0.11009174311926606,4.2129950523376465,
Aaganwadi Kendra Pakri Bazaar,324,0.2106,0.1156,0.1834,0.47463318184730163,0.3026730163656635,-3.1465261629006003,0.6574074074074074,0.32394829392433167,
Aanganwadi Kendra,477,4.5036,3.8268,-577.8208,5.2259692496001,4.6490437620110985,-778.4131905648956,0.027253668763102725,14.51366138458252,
Aanganwadi kendra,487,2.6966,2.1642,-150.46,2.6641528206487264,2.0937388937321533,-146.83658633410528,0.8624229979466119,4.857468605041504,
"Aanganwadi kendra, Barhara",480,4.6392,2.5566,-0.6951,4.733413969976494,2.672751086688042,-0.7646690763349473,0.43125,0.934496283531189,
Aasao Pura,825,23.4355,14.4193,-1.2961,22.60894366665308,15.925669453661369,-1.1370064364460637,0.3103030303030303,0.12646344304084778,
Abdullahpur Primary School -Medium,344,0.1528,0.0858,0.6395,0.23861571398863193,0.16151230851994003,0.12088029659993249,0.7005813953488372,0.31044110655784607,
Abhauli (UP-153),977,0.9169,0.7609,-1.1101,1.1575220171417,0.9583769274880479,-2.3629568277023085,0.34083930399181167,0.9335773587226868,
Adari_2,857,13.7211,10.8311,-1.2342,13.768827238882693,11.13338344961231,-1.2497513365724942,0.11085180863477247,3.289447069168091,
"Adarsh Primary School, Dubar Kalan",687,0.2124,0.1534,0.9109,0.7953567186896283,0.5087423496523973,-0.2493337509257949,0.4774381368267831,0.5938552021980286,
Agan Wadi Kendra Kuchendu,334,0.6887,0.5377,0.9838,11.412306113226487,10.103902951406148,-3.4421884342063453,0.2844311377245509,8.223430633544922,
Aganwadi Kendra Rupauli,599,1.8421,1.1821,-2.5962,1.796952971091009,1.1633267344250307,-2.4222253399638216,0.5091819699499165,1.57816743850708,
Agra City (UP-017),1200,0.2338,0.1471,0.7952,1.05173153236685,0.9555426393890382,-3.1449379550749326,0.025833333333333333,0.12010149657726288,
Ahmad Ganj,730,20.4006,16.7813,-0.1205,29.276966871716667,21.99533952101616,-1.3076773698322968,0.00821917808219178,1.5257315635681152,
Ahmadpur Savant (UP-163),976,0.4546,0.4134,0.7309,1.5895201273028592,1.427835976694451,-2.2895890220817985,0.06967213114754098,0.7950772047042847,
Airayan  (UP-023),1197,0.2142,0.1223,0.9843,2.9673192878718053,2.56173972558298,-2.0193256840250533,0.13533834586466165,0.8148494362831116,
