station,rmse,mae,r2,cover,secs
Artauli_1,0.0005,0.0005,-5.338951785807922e+21,1.0,7.31
Aanganwadi Kendra,4.5036,3.8268,-577.8208,0.9015,2.23
Aanganwadi kendra,2.6966,2.1642,-150.46,0.5688,7.54
Aadarsh Kisaan Inter College Bhabhuwa,19.5957,16.7482,-108.5446,0.0467,4.1
Aligarh Lodha Aisi Kol,1.4941,0.7673,-22.7536,0.5836,8.86
Baba BelkharNath Dham (UP-045),0.4966,0.4146,-2.6088,0.0026,15.23
Aganwadi Kendra Rupauli,1.8421,1.1821,-2.5962,0.5008,4.92
Amliha_1,28.976,19.3803,-2.1381,0.5539,4.13
750825- Primary Sch Shivrampur -Medium,15.2366,8.6659,-2.0978,0.9768,3.01
Azamgarh Atrauliya Atrauliya,0.8047,0.6339,-1.9017,0.2628,5.0
Atrada Pi_1,38.1032,30.0564,-1.6126,0.0742,6.2
Badagaon_1,40.5606,31.8207,-1.5351,0.3339,6.83
Aasao Pura,23.4355,14.4193,-1.2961,0.2582,5.0
750718- Primary Sch Matuka -Medium,8.3969,5.0453,-1.2845,0.3669,14.7
Adari_2,13.7211,10.8311,-1.2342,0.112,9.07
Abhauli (UP-153),0.9169,0.7609,-1.1101,0.4043,14.04
Atarahat,32.7853,23.76,-1.0417,0.3046,8.36
Bagadari,24.5119,16.6522,-1.0363,0.5182,15.75
Amlour,37.7152,25.6175,-1.0273,0.4495,10.02
Badhouli,39.6137,28.0043,-0.8993,0.109,3.35
Babina Rular,20.8095,14.3329,-0.8713,0.4113,3.76
Bahjoi (UP-128),0.7949,0.6984,-0.8445,0.1472,3.88
Allaiha Badhaiya,25.4859,17.7038,-0.8039,0.3745,7.26
Baghura_1,22.3314,15.8561,-0.7753,0.1388,8.74
Amgaon (UP-067),5.0395,3.5226,-0.7626,0.1181,12.78
"Aanganwadi kendra, Barhara",4.6392,2.5566,-0.6951,0.7562,2.9
Baghora_1,22.5323,13.3315,-0.3994,0.0874,7.01
Alipur Aterna_1,19.9825,14.4112,-0.2562,0.834,15.37
750523- Kakalpur PMS -Medium,0.358,0.2884,-0.1258,0.854,3.93
Ahmad Ganj,20.4006,16.7813,-0.1205,0.4644,9.8
Azamgarh Palhana Balahi Lahucha,0.0754,0.0583,-0.0797,0.7304,5.07
Azamgarh Thekama Bardah,0.8442,0.6837,-0.0747,0.3444,6.74
Aligarh Chandaus Lohput,0.151,0.1109,0.0071,0.2577,4.05
Azamgarh Jahanganj Godhaura,0.0959,0.0784,0.0418,0.4897,7.32
750128- PMS Sulemapur -Medium,0.1567,0.0211,0.0833,0.9748,5.35
Aligarh Chandaus  Somana,0.7481,0.2965,0.144,0.9102,17.82
Aaganwadi Kendra Pakri Bazaar,0.2106,0.1156,0.1834,0.8611,2.89
Azamgarh Sathiyavn Gajahada,0.6539,0.4,0.1879,0.1519,9.31
Baije mau,22.6687,15.1123,0.2576,0.5462,6.45
Bajehta_1,2.9708,0.7833,0.3637,0.2111,2.63
Baghpat Sardhana Julaida,0.1349,0.0974,0.3678,0.9207,3.75
"Anganwadi Kedra, Baini",0.1944,0.1347,0.4635,0.6574,6.85
Aligarh Jawa Jamalpur Siya,0.1143,0.0955,0.4898,0.2112,8.25
ASHADHA PRATHMIK VIDYALAYA,0.2553,0.1741,0.4907,0.8867,4.09
Allahabad City (UP-046),0.3726,0.2964,0.5441,0.9287,13.46
Alipur,0.2893,0.2105,0.5461,0.7481,8.87
Badhai Khurd Pr. Vid.,0.476,0.2198,0.5738,0.8696,3.46
Amchurnirua,9.6299,6.1712,0.6165,0.5517,7.38
Aligarh Jawa Bahadurpur Kota,0.2069,0.1222,0.6259,0.9311,10.16
Abdullahpur Primary School -Medium,0.1528,0.0858,0.6395,0.8866,3.2
Azamgarh Palhana Jamui Bhatauli,0.0885,0.0695,0.6554,0.5465,8.99
Ahmadpur Savant (UP-163),0.4546,0.4134,0.7309,0.9488,24.46
Ashapur Dak Banglow-Malawan-Shallow,0.3867,0.2378,0.7312,0.5666,7.44
Aurai (UP-150),0.7582,0.3929,0.762,0.6217,13.14
Awagarh (UP-005),0.7533,0.4723,0.7752,0.685,11.11
Agra City (UP-017),0.2338,0.1471,0.7952,0.3625,10.63
Aadarsh Prathmik Vidhyalaya Mahua,0.212,0.1212,0.8026,0.4521,2.53
BADHANI PRATHMIK VIDYALAYA,0.3274,0.2653,0.8102,0.8153,4.23
"Amroha Forest Department, Medium",0.1169,0.0888,0.8176,0.846,13.05
Ashapur Dak Banglow-Malawan-Medium,0.1228,0.0754,0.821,0.7761,12.33
Aligarh Chandaus Chuharpur,0.1695,0.1123,0.8223,0.869,16.57
Bahuwa (UP-024),0.3256,0.2562,0.8393,0.2866,4.41
390713- Jairampur PMS -Shallow,0.078,0.0589,0.8566,0.2624,5.35
Azamgarh Lalganj Lalganj,0.2172,0.1449,0.877,0.5494,5.36
Badaun Usawan BDO Office,0.0798,0.0606,0.8854,0.8541,17.55
"Amroha Forest Department, Shallow",0.1111,0.0655,0.8863,0.8013,23.31
Badalpur (UP-091),0.1893,0.1193,0.8938,0.7638,4.1
Aryavart Madhyamik Vidhyalaya Sindhora,0.2908,0.1731,0.9038,0.8712,5.21
Aswaniya Pr. Vid.,0.2353,0.1745,0.904,0.7633,12.38
"Adarsh Primary School, Dubar Kalan",0.2124,0.1534,0.9109,0.9068,4.34
Badaun Salarpur BDO Office,0.1288,0.054,0.9195,0.8907,5.44
Badaun Ujhani Sports Stadium,0.0505,0.0349,0.9209,0.9639,9.21
Aagan Waadi Kender Dwarkapur,0.1172,0.0962,0.9209,0.5863,2.01
Aligarh Chandaus Maharajpur,0.2557,0.1247,0.9292,0.974,3.94
Aligarh Lodha Mahrawalpur Nagariya,0.1685,0.08,0.9328,0.7917,8.94
Aaganwadi Kender Kakrawali,0.2596,0.2064,0.9405,0.3264,12.61
Aaganwadi Kender Khanjarpur,0.0628,0.0392,0.9442,0.7859,4.07
Badagaon (UP-049),0.3018,0.1621,0.9444,0.9104,7.82
Alakchandra Inter college Bhinga,0.3064,0.1813,0.9448,0.6648,6.49
Aligarh Khair Utwara,0.0996,0.0287,0.9532,0.9848,5.75
Azamgarh Ahiraula Bahera,0.0939,0.079,0.958,0.9475,4.6
Azamgarh Ahiraula Kandara,0.0661,0.0526,0.9585,0.6282,7.18
Azamgarh Pavai Velasiya,0.2441,0.1646,0.9595,0.8622,5.93
Baghpat Meerut Kheda Balrampur Itiyara,0.0538,0.0274,0.9662,0.8944,15.19
Aligarh Gonda Chuhurpur Kinala,0.134,0.0882,0.9669,0.6627,24.49
Aligarh Khair Arrana,0.1137,0.0756,0.9697,0.9755,5.47
Aagan Wadi Kendra Chandni,0.3297,0.2127,0.971,0.4282,2.2
Aligarh Jawa Sogera,0.0858,0.0469,0.9734,0.9591,8.74
Amauli (UP-027),0.1584,0.0519,0.977,0.9671,9.07
Agan Wadi Kendra Kuchendu,0.6887,0.5377,0.9838,0.997,3.12
Airayan  (UP-023),0.2142,0.1223,0.9843,0.9357,11.91
Aspur Deosara (UP-040),0.1122,0.06,0.9845,0.9352,7.82
Asafpur (UP-077),0.0292,0.0182,0.992,0.9281,4.6
