gwl_station,src_station,dist_km
"Adarsh Primary School, Dubar Kalan",SIRSI RB Canal,15.240406552914132
"Anganwadi Kedra, Baini",Dhandhraul Canal,19.912099994964517
Aryavart Madhyamik Vidhyalaya Sindhora,Dhekwan RB Canal,12.149738307303199
Aswaniya Pr. Vid.,Jirgo Dam Gate -1,83.78150653349621
Azamgarh Lalganj Lalganj,Jirgo Dam Gate -1,84.03698297317065
Azamgarh Palhana Balahi Lahucha,Garai RB Canal,79.64879468878162
Azamgarh Palhana Jamui Bhatauli,Garai RB Canal,80.60774240761683
Azamgarh Thekama Bardah,Jirgo Dam Gate -1,84.62633764191344
"Community Center, Ghorawal",Dhekwan RB Canal,27.6749645760355
Comosite School Campus Badalganj,Latifshah LB canal,95.10713515723162
Composite School Sagarpur,Lower Khajuri LB Canal,15.052923656157791
"Composite School, Ghamhapur",Lower Khajuri LB Canal,13.14394645226899
"Composite School, Mungari",Lower Khajuri LB Canal,41.77917052608154
"Composite School, Pathraha",Dhekwan LB Canal,10.011696608064698
Grampunchayat Sachiwalaya Deori,Dhandhraul Canal,5.959661535503152
"Irrigation Department, Amawar",Dhandhraul Canal,56.40169036989625
Jaunpur Dobhi Bagerwa,Jirgo Canal 1800,61.16880677756708
Jaunpur Dobhi Bankati,Jirgo Canal 1800,62.97607424746377
Jaunpur Dobhi Kachhawan,Jirgo Dam Gate -1,64.47627483406838
Jaunpur Dobhi Kakarapar,Jirgo Canal 1800,60.69271923488009
Jaunpur Jalalpur Katuwani,Jirgo Dam Gate -1,61.96059242991678
Jaunpur Jalalpur Vanpurwa,Lower Khajuri RB Canal,61.45012169598672
Jaunpur Jalalpur Vind,Jirgo Dam Gate -1,59.66692137873355
Jaunpur Kerakat  Kharg Senpur,Jirgo Dam Gate -1,61.27548467096651
Jaunpur Kerakat Barbaspur (Sohani),Jirgo Dam Gate -1,61.27370088892155
Jaunpur Kerakat Mahali,Jirgo Dam Gate -1,58.74819180779042
Jaunpur Kerakat Nihalapur,Jirgo Dam Gate -1,59.96243848841969
Jaunpur Rampur Kamaruddin,Lower Khajuri RB Canal,41.059545781476
Jaunpur Rampur Kaseru Nonara,Lower Khajuri LB Canal,44.19663429929286
Jaunpur Rampur Kathwatiya,Lower Khajuri RB Canal,41.30777648582896
Jaunpur Rampur Sultanpur,Lower Khajuri LB Canal,42.590145153268615
"Madhyamik Vidhyalaya, Dulha Daul",Dhekwan RB Canal,7.249470745473451
"Mahadeva Temple, Mahadeva",Lower Khajuri LB Canal,44.25778540070807
Mankuwar,Sukhra Canal Inlet,99.95410747232015
"Nagar Palika Campus, Gyanpur",Lower Khajuri LB Canal,31.33356748863184
Navrasia,Garai RB Canal,82.25864553461513
"Office of Assistant Director, Resham",Dhandhraul Canal,17.67305242343433
"Panchayat Bhawan, Dohri",Garai RB Canal,14.829850579686067
"Panchayat Bhawan, Kul Doomri",Dhandhraul Canal,58.362679088034184
"Panchayat Bhwan, Kon",Dhandhraul Canal,37.13334920511273
Prathmik Vidhyalaya Mahugarh,Sukhra Canal Inlet,5.053668334802338
Priamry School Mukasim,Ahraura Canal,27.623965850010034
"Primary  School, Nawada Kalan",Lower Khajuri LB Canal,39.82618759375174
Primary School  Bihasara,Lower Khajuri LB Canal,27.246220667884543
Primary School  Biraura,Lower Khajuri LB Canal,21.710330795848446
Primary School Ashadh,Lower Khajuri RB Canal,26.570754545469725
Primary School Babura,Lower Khajuri LB Canal,21.80655672497033
Primary School Campus Aurangabad,Lower Khajuri RB Canal,96.25236038913836
Primary School Campus Sikraura,Jirgo Dam Gate -1,77.68090923057528
Primary School Charkonwa,Dhandhraul Canal,15.618558438979267
Primary School Harinahpur,Lower Khajuri RB Canal,7.368896377357052
Primary School Jamunia,Lower Khajuri LB Canal,17.86515640376192
"Primary School,  Todarpur",Jirgo Dam Gate -1,24.464162460468064
"Primary School, Baghpokhar",Dhekwan RB Canal,24.428002963726577
"Primary School, Jhaaro Kalan",Dhandhraul Canal,48.80097921179428
"Primary School, Kantit",Lower Khajuri LB Canal,12.270595005006982
"Primary School, Kevtam",Dhandhraul Canal,17.757193179532255
"Primary School, Kodai",Lower Khajuri RB Canal,38.86779109510285
"Primary School, Koilar",Lower Khajuri RB Canal,38.55165808495124
"Primary School, Narokhar",Dhandhraul Canal,1.316550192592642
"Primary School, Narouiya Daamar",Dhandhraul Canal,38.70534967092149
