gwl_station,src_station,dist_km
ASHADHA PRATHMIK VIDYALAYA,ADWA AWS,120.4203008883115
"Adarsh Primary School, Dubar Kalan",ADWA AWS,23.374554665521185
Amchurnirua,ADWA AWS,142.13762084713218
"Anganwadi Kedra, Baini",Moosakhand  AWS,28.43953790227422
Aryavart Madhyamik Vidhyalaya Sindhora,Jirgo AWS,14.407171888397913
Aswaniya Pr. Vid.,Jirgo AWS,83.78150653349621
Azamgarh Ahiraula Bahera,Jirgo AWS,128.73932859009255
Azamgarh Ahiraula Kandara,Jirgo AWS,121.60924369855636
Azamgarh Atrauliya Atrauliya,Jirgo AWS,143.98932857297063
Azamgarh Jahanganj Godhaura,Jirgo AWS,107.8236790314598
Azamgarh Lalganj Lalganj,Jirgo AWS,84.03698297317065
Azamgarh Palhana Balahi Lahucha,Jirgo AWS,79.76961736229208
Azamgarh Palhana Jamui Bhatauli,Jirgo AWS,81.10633152317578
Azamgarh Pavai Velasiya,Jirgo AWS,115.97604481178269
Azamgarh Sathiyavn Gajahada,Jirgo AWS,117.95452083856364
Azamgarh Thekama Bardah,Jirgo AWS,84.62633764191344
BANI KHAS C.V. VIDYALAYA,ADWA AWS,118.00701411356377
Bhitari_2,ADWA AWS,107.93506403137842
Chitrakoot Karvi Khoha,ADWA AWS,146.50105954891941
Chitrakoot Manikpur Agarhudha,ADWA AWS,132.1445246617082
Chitrakoot Manikpur Sardar Patel,ADWA AWS,130.5544453488093
"Community Center, Ghorawal",Jirgo AWS,36.80292909611605
Comosite School Campus Badalganj,Jirgo AWS,99.06348479846216
Composite School Sagarpur,Jirgo AWS,43.320181280058826
Composite School Sanjarpur,Jirgo AWS,106.57807290807652
Composite School katar,Jirgo AWS,115.65837559878238
"Composite School, Ghamhapur",Jirgo AWS,45.46451937732202
"Composite School, Mungari",ADWA AWS,65.43047841919483
"Composite School, Pathraha",Jirgo AWS,18.274994091135365
FAREDUPUR PRATHMIK VIDYALAYA,ADWA AWS,134.9230612891206
Gorakhpur Barahalganj Ojhauli,Moosakhand  AWS,147.01567716227134
Grampunchayat Sachiwalaya Deori,OBRA AWS,31.825676980966442
HARNHAPUR PRATHAMIK VIDYALAYA,ADWA AWS,122.56036986293631
HOLAGARH PURV MADHYAMIK VIDYALAYA,ADWA AWS,111.90348224621602
"Irrigation Department, Amawar",OBRA AWS,48.17259802084521
Jaunpur Dobhi Bagerwa,Jirgo AWS,61.178450314359026
Jaunpur Dobhi Bankati,Jirgo AWS,62.97958513772722
Jaunpur Dobhi Kachhawan,Jirgo AWS,64.47627483406838
Jaunpur Dobhi Kakarapar,Jirgo AWS,60.76392200987472
Jaunpur Jalalpur Katuwani,Jirgo AWS,61.96059242991678
Jaunpur Jalalpur Vanpurwa,Jirgo AWS,62.06356994980577
Jaunpur Jalalpur Vind,Jirgo AWS,59.66692137873355
Jaunpur Kerakat  Kharg Senpur,Jirgo AWS,61.27548467096651
Jaunpur Kerakat Barbaspur (Sohani),Jirgo AWS,61.27370088892155
Jaunpur Kerakat Mahali,Jirgo AWS,58.74819180779042
Jaunpur Kerakat Nihalapur,Jirgo AWS,59.96243848841969
Jaunpur Rampur Kamaruddin,Jirgo AWS,48.43652862731908
Jaunpur Rampur Kaseru Nonara,Jirgo AWS,57.07183756272966
Jaunpur Rampur Kathwatiya,Jirgo AWS,49.53106783964458
Jaunpur Rampur Sultanpur,Jirgo AWS,54.66744698834835
"Jr. High School, Purwa Tarouha",ADWA AWS,123.28388605081983
KOSHAK IMAM PRATHMIK VIDYALAYA,ADWA AWS,115.04060334123263
Khojapur,Jirgo AWS,117.13251864228255
MANDHATA PURV MADHYAMIK VIDYALAYA,ADWA AWS,122.59703588582978
"Madhyamik Vidhyalaya, Dulha Daul",Jirgo AWS,14.148743601625485
"Mahadeva Temple, Mahadeva",ADWA AWS,55.679359726351635
Mahgaon (UP-031),ADWA AWS,109.34482424654755
Mankuwar,ADWA AWS,106.35536979416435
"Nagar Palika Campus, Gyanpur",Jirgo AWS,56.73688483469109
Navrasia,Jirgo AWS,84.00077988024016
"Office of Assistant Director, Resham",OBRA AWS,30.00186089804699
PRIMARY SCHOOL BAKAR GANJ,ADWA AWS,124.02925688239579
Panchayat Bhawan  Suhel,ADWA AWS,120.11907360419875
"Panchayat Bhawan, Dohri",Jirgo AWS,21.636667915194355
"Panchayat Bhawan, Kul Doomri",OBRA AWS,30.14051582680951
"Panchayat Bhwan, Kon",OBRA AWS,41.91550958158682
Piparaond,ADWA AWS,118.00356810367255
Prathmik Vidhyalaya Mahugarh,ADWA AWS,10.22531625464106
Priamry School Mukasim,Jirgo AWS,31.184716102932146
"Primary  School, Nawada Kalan",Jirgo AWS,59.74777066866682
Primary School  Bihasara,ADWA AWS,42.26244634933579
Primary School  Biraura,ADWA AWS,51.05349564688281
Primary School Ashadh,Jirgo AWS,27.74938795243643
Primary School Babura,ADWA AWS,50.98171539624857
Primary School Campus Aurangabad,Jirgo AWS,96.90467167803084
Primary School Campus Powai,Jirgo AWS,126.5774905957051
Primary School Campus Sikraura,Jirgo AWS,77.68090923057528
Primary School Charkonwa,Moosakhand  AWS,30.04595292470262
Primary School Harinahpur,Jirgo AWS,33.91732405735744
Primary School Jamunia,ADWA AWS,32.86663377199682
Primary School Odaraha,Jirgo AWS,148.48127552480648
"Primary School,  Todarpur",Jirgo AWS,24.464162460468064
"Primary School, Baghpokhar",Jirgo AWS,30.148809931191703
"Primary School, Jhaaro Kalan",OBRA AWS,34.26503484704755
"Primary School, Kantit",Jirgo AWS,44.67551328145596
"Primary School, Kevtam",Moosakhand  AWS,38.907755983808805
"Primary School, Kodai",Jirgo AWS,44.048563324046626
"Primary School, Koilar",Jirgo AWS,45.36611345263487
"Primary School, Narokhar",OBRA AWS,29.7817511139711
"Primary School, Narouiya Daamar",OBRA AWS,42.97588796714805
"Primary School, Pakarhut",Moosakhand  AWS,28.718997749165016
"Primary School, Shivpur",Jirgo AWS,7.5398853909180525
"Primary School, Sirasi",Moosakhand  AWS,35.60540397189076
Prmary School Rajpura,Jirgo AWS,28.211288089495316
Punchayat Bhawan Vijaypur,ADWA AWS,40.92339740806184
"Purv Madh Vidhyalaya, Doomradeeh",OBRA AWS,36.78817730655873
"Purv Madh Vidhyalaya, Shivpur",Moosakhand  AWS,30.175915809596304
"Purv Madhyamik Vidhyalaya, Doriya",Moosakhand  AWS,28.742489297759757
"Purv Madhyamik Vidhyalaya, Fattupur",Jirgo AWS,56.119124771395335
"Purv Madhyamik Vidhyalaya, Mahooli",OBRA AWS,40.762310479839876
"Purv Madhyamik Vidyalaya, Mujehra",Jirgo AWS,44.344881723170076
"Purv Madhyamik Vidyalaya, Ranibari",Jirgo AWS,42.608277385629485
"Purv Madhyamik Vidyalaya,Bharpura",Jirgo AWS,23.98282979996682
"Purva Madhyamik Vidhyalaya, Chackwara",Jirgo AWS,99.58941009902108
"Purva Madhyamik Vidhyalaya, Chandapur",Jirgo AWS,40.28050371923421
RASULPUR BARGAON RAJKIYA UCHTTAR PRATHAMIK VIDYALAYA,ADWA AWS,113.50128244610204
Rajapur Sikraur,Jirgo AWS,105.52086632478414
"Roadways Bus Stand, Robertsganj",OBRA AWS,29.335936971294434
Saint Ravidas Nagar Abholi Abholi,Jirgo AWS,72.21210407312435
Saint Ravidas Nagar Abholi Gangarampur,Jirgo AWS,73.352556940047
Saint Ravidas Nagar Aurai Ugapur,Jirgo AWS,63.73230988040505
Saint Ravidas Nagar Aurai Uprauth,Jirgo AWS,44.835867895043584
Saint Ravidas Nagar Bhadohi Munshi,Jirgo AWS,54.264289739298476
Saint Ravidas Nagar Deegh  Deegh,ADWA AWS,58.7486780686804
Saint Ravidas Nagar Deegh Velahua,ADWA AWS,64.3182641114072
Saint Ravidas Nagar Gyanpur Kansapur,Jirgo AWS,55.51887282786906
Saint Ravidas Nagar Gyanpur Samhai,Jirgo AWS,54.87383612982577
