gwl_station,src_station,dist_km
ASHADHA PRATHMIK VIDYALAYA,Gunta Dam,34.88605634015699
ASHADHA PRATHMIK VIDYALAYA,Rangwa Dam (ARG+AWLR),78.57394520874604
ASHADHA PRATHMIK VIDYALAYA,Rasin Dam,78.57610939122819
Aagan Wadi Kendra Chandni,Pathari Dam,57.4348184216055
Aagan Wadi Kendra Chandni,Parichha Dam,58.54229532961766
Aagan Wadi Kendra Chandni,Lakheri Dam ARG+AWLR,58.68079268970824
Aaganwadi Kendra Pakri Bazaar,Bhaluani,8.61895242611827
Aaganwadi Kendra Pakri Bazaar,Pathar Dewa,30.278507705264413
Aaganwadi Kendra Pakri Bazaar,Bhatpar Rani_1,35.87142304969613
"Adarsh Primary School, Dubar Kalan",Meja Dam Gate -1,10.783259607648601
"Adarsh Primary School, Dubar Kalan",SIRSI Dam Gate -1,18.44816330651997
"Adarsh Primary School, Dubar Kalan",ADWA AWS,23.374554665521185
Agan Wadi Kendra Kuchendu,Rasin Dam,38.77152997385483
Agan Wadi Kendra Kuchendu,Rangwa Dam (ARG+AWLR),38.77679836549109
Agan Wadi Kendra Kuchendu,Gunta Dam,53.330263208786015
Aligarh Chandaus  Somana,Sarauli ARG,100.84320803951013
Aligarh Chandaus  Somana,Daulla ARG,121.95549785659212
Aligarh Chandaus  Somana,Barut ARG,136.22226608927176
Aligarh Chandaus Maharajpur,Sarauli ARG,101.92544576741952
Aligarh Chandaus Maharajpur,Daulla ARG,123.14627670012197
Aligarh Chandaus Maharajpur,Barut ARG,137.43724609935686
Aligarh Jawa Bahadurpur Kota,Sarauli ARG,108.44602044358051
Aligarh Jawa Bahadurpur Kota,Daulla ARG,129.04523177097263
Aligarh Jawa Bahadurpur Kota,Barut ARG,143.17303199301793
Aligarh Jawa Jamalpur Siya,Sarauli ARG,113.1182247503097
Aligarh Jawa Jamalpur Siya,Daulla ARG,133.92296220907647
Aligarh Jawa Jamalpur Siya,Barut ARG,148.10066447029234
Aligarh Jawa Sogera,Sarauli ARG,104.46503292792454
Aligarh Jawa Sogera,Daulla ARG,124.66938921798585
Aligarh Jawa Sogera,Barut ARG,138.69249512904184
Aligarh Khair Arrana,Sarauli ARG,109.35191113193636
Aligarh Khair Arrana,Daulla ARG,131.2381714027868
Aligarh Khair Arrana,Barut ARG,145.65740535160867
Aligarh Khair Utwara,Sarauli ARG,106.14076021405127
Aligarh Khair Utwara,Daulla ARG,127.78089177872606
Aligarh Khair Utwara,Barut ARG,142.15776957376926
Aligarh Lodha Aisi Kol,Sarauli ARG,128.43467168828636
Aligarh Lodha Aisi Kol,Daulla ARG,149.83117417389764
Aligarh Lodha Mahrawalpur Nagariya,Sarauli ARG,116.82164227330753
Aligarh Lodha Mahrawalpur Nagariya,Daulla ARG,137.93617050875505
Amchurnirua,Gunta Dam,29.46068253672604
Amchurnirua,Rangwa Dam (ARG+AWLR),32.66027952335396
Amchurnirua,Rasin Dam,32.667476852385796
Amlour,Rasin Dam,68.9206134823754
Amlour,Rangwa Dam (ARG+AWLR),68.92810788508429
Amlour,Gunta Dam,95.61954843878199
"Anganwadi Kedra, Baini",Nagwa Dam Gate -1,7.7056547960041275
"Anganwadi Kedra, Baini",Bhainsora Canal,12.544295734169157
"Anganwadi Kedra, Baini",Naugarh Dam ARG + Gate,15.693909282667828
Aryavart Madhyamik Vidhyalaya Sindhora,Dhekwan RB Canal,12.149738307303199
Aryavart Madhyamik Vidhyalaya Sindhora,Jirgo AWS,14.407171888397913
Aryavart Madhyamik Vidhyalaya Sindhora,Lower Khajuri RB Canal,19.944248756369984
Aswaniya Pr. Vid.,Mahrajganj_1,54.8320688708012
Aswaniya Pr. Vid.,Atraulia,60.291323631640054
Aswaniya Pr. Vid.,Jirgo AWS,83.78150653349621
Azamgarh Ahiraula Bahera,Atraulia,15.51485316602355
Azamgarh Ahiraula Bahera,Mahrajganj_1,22.007060695111658
Azamgarh Ahiraula Bahera,Bhaluani,87.89254357896807
Azamgarh Ahiraula Kandara,Atraulia,24.085644482184005
Azamgarh Ahiraula Kandara,Mahrajganj_1,29.72326744443412
Azamgarh Ahiraula Kandara,Bhaluani,94.90433588668314
Azamgarh Atrauliya Atrauliya,Atraulia,0.07437598174641674
Azamgarh Atrauliya Atrauliya,Mahrajganj_1,20.93756844336032
Azamgarh Atrauliya Atrauliya,Bhaluani,83.46767632153787
Azamgarh Jahanganj Godhaura,Mahrajganj_1,33.684444446512806
Azamgarh Jahanganj Godhaura,Atraulia,51.409164596459625
Azamgarh Jahanganj Godhaura,Bhaluani,67.59740965859837
Azamgarh Lalganj Lalganj,Mahrajganj_1,51.660984047717115
Azamgarh Lalganj Lalganj,Atraulia,61.17543647212626
Azamgarh Lalganj Lalganj,Jirgo AWS,84.03698297317065
Azamgarh Palhana Balahi Lahucha,Mahrajganj_1,56.13210770000711
Azamgarh Palhana Balahi Lahucha,Atraulia,67.36669756378834
Azamgarh Palhana Balahi Lahucha,Garai RB Canal,79.64879468878162
Azamgarh Palhana Jamui Bhatauli,Mahrajganj_1,55.17369102357735
Azamgarh Palhana Jamui Bhatauli,Atraulia,67.11680137748638
Azamgarh Palhana Jamui Bhatauli,Garai RB Canal,80.60774240761683
Azamgarh Pavai Velasiya,Atraulia,32.63924953193574
Azamgarh Pavai Velasiya,Mahrajganj_1,38.719589481924224
Azamgarh Pavai Velasiya,Bhaluani,103.23595045149388
Azamgarh Sathiyavn Gajahada,Mahrajganj_1,27.37929834104107
Azamgarh Sathiyavn Gajahada,Atraulia,47.110031518805975
Azamgarh Sathiyavn Gajahada,Bhaluani,58.82326338068206
Azamgarh Thekama Bardah,Mahrajganj_1,56.652690375517864
Azamgarh Thekama Bardah,Atraulia,60.24841549318842
Azamgarh Thekama Bardah,Jirgo AWS,84.62633764191344
B.D.O Office Bhatini,Bhatpar Rani_1,12.697112656208226
B.D.O Office Bhatini,Bhaluani,16.245083116756767
B.D.O Office Bhatini,Pathar Dewa,22.550042921820744
B.D.O. Office Lar,Bhatpar Rani_1,12.469993217186685
B.D.O. Office Lar,Bhaluani,26.45765404862699
B.D.O. Office Lar,Pathar Dewa,40.86937620807568
"B.D.O. Office, Binauli",Daulla ARG,13.968251108968168
"B.D.O. Office, Binauli",Barut ARG,14.220172524210088
"B.D.O. Office, Binauli",RAMALA ARG,19.765609463075215
