gwl_station,src_station,dist_km
BADHANI PRATHMIK VIDYALAYA,UPSW_Badahara,
BADHANI PRATHMIK VIDYALAYA,UPSW_SemraGhat,
BADHANI PRATHMIK VIDYALAYA,UPSW_Unawal,
BANSGAON PRATHMIK VIDYALAYA,UPSW_Badahara,
BANSGAON PRATHMIK VIDYALAYA,UPSW_SemraGhat,
BANSGAON PRATHMIK VIDYALAYA,UPSW_Unawal,
Bdo Office Campus Pipraich,UPSW_Badahara,
Bdo Office Campus Pipraich,UPSW_SemraGhat,
Bdo Office Campus Pipraich,UPSW_Unawal,
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",UPSW_Bansi,
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",UPSW_Kakrahi,
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",UPSW_Ram Nagara,
Composite Upper Primary School Sajania,UPSW_Bansi,
Composite Upper Primary School Sajania,UPSW_Kakrahi,
Composite Upper Primary School Sajania,UPSW_Ram Nagara,
Gorakhpur Barahalganj Bhatpar (Saukhor),UPSW_Badahara,
Gorakhpur Barahalganj Bhatpar (Saukhor),UPSW_SemraGhat,
Gorakhpur Barahalganj Bhatpar (Saukhor),UPSW_Unawal,
Gorakhpur Barahalganj Ojhauli,UPSW_Badahara,
Gorakhpur Barahalganj Ojhauli,UPSW_SemraGhat,
Gorakhpur Barahalganj Ojhauli,UPSW_Unawal,
Gorakhpur Belghat Belghat,UPSW_Badahara,
Gorakhpur Belghat Belghat,UPSW_SemraGhat,
Gorakhpur Belghat Belghat,UPSW_Unawal,
Gorakhpur Belghat Murarpur,UPSW_Badahara,
Gorakhpur Belghat Murarpur,UPSW_SemraGhat,
Gorakhpur Belghat Murarpur,UPSW_Unawal,
Gorakhpur Chargaon Beniganj,UPSW_Badahara,
Gorakhpur Chargaon Beniganj,UPSW_SemraGhat,
Gorakhpur Chargaon Beniganj,UPSW_Unawal,
Gorakhpur Gagaha Gagaha,UPSW_Badahara,
Gorakhpur Gagaha Gagaha,UPSW_SemraGhat,
Gorakhpur Gagaha Gagaha,UPSW_Unawal,
Gorakhpur Gola Dhakwarchak,UPSW_Badahara,
Gorakhpur Gola Dhakwarchak,UPSW_SemraGhat,
Gorakhpur Gola Dhakwarchak,UPSW_Unawal,
Gorakhpur Gola Gopalpur Patham,UPSW_Badahara,
Gorakhpur Gola Gopalpur Patham,UPSW_SemraGhat,
Gorakhpur Gola Gopalpur Patham,UPSW_Unawal,
Gorakhpur Gola Turkwaliya,UPSW_Badahara,
Gorakhpur Gola Turkwaliya,UPSW_SemraGhat,
Gorakhpur Gola Turkwaliya,UPSW_Unawal,
Gorakhpur Kauriram Dhausa,UPSW_Badahara,
Gorakhpur Kauriram Dhausa,UPSW_SemraGhat,
Gorakhpur Kauriram Dhausa,UPSW_Unawal,
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,UPSW_Badahara,
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,UPSW_SemraGhat,
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,UPSW_Unawal,
Gorakhpur Pali Dumari Niwas,UPSW_Badahara,
Gorakhpur Pali Dumari Niwas,UPSW_SemraGhat,
Gorakhpur Pali Dumari Niwas,UPSW_Unawal,
Gorakhpur Pali Pali,UPSW_Badahara,
Gorakhpur Pali Pali,UPSW_SemraGhat,
Gorakhpur Pali Pali,UPSW_Unawal,
Gorakhpur Sahjanwa Kasrol,UPSW_Badahara,
Gorakhpur Sahjanwa Kasrol,UPSW_SemraGhat,
Gorakhpur Sahjanwa Kasrol,UPSW_Unawal,
Gorakhpur Sardarnagr Awadpur,UPSW_Badahara,
Gorakhpur Sardarnagr Awadpur,UPSW_SemraGhat,
Gorakhpur Sardarnagr Awadpur,UPSW_Unawal,
Gorakhpur Urwa Malhanpar,UPSW_Badahara,
Gorakhpur Urwa Malhanpar,UPSW_SemraGhat,
Gorakhpur Urwa Malhanpar,UPSW_Unawal,
Kushinagar Sewarhi  Rampur Bagra N0.2,UPSW_Badahara,
Kushinagar Sewarhi  Rampur Bagra N0.2,UPSW_SemraGhat,
Kushinagar Sewarhi  Rampur Bagra N0.2,UPSW_Unawal,
PRIMARY SCHOOL RAMUGHAT,UPSW_Badahara,
PRIMARY SCHOOL RAMUGHAT,UPSW_SemraGhat,
PRIMARY SCHOOL RAMUGHAT,UPSW_Unawal,
"Prathmik Vidhyalaya, Nehlawa",UPSW_Bansi,
"Prathmik Vidhyalaya, Nehlawa",UPSW_Kakrahi,
"Prathmik Vidhyalaya, Nehlawa",UPSW_Ram Nagara,
Primary School  Maharaji,UPSW_Badahara,
Primary School  Maharaji,UPSW_SemraGhat,
Primary School  Maharaji,UPSW_Unawal,
Primary School Baijnathpur,UPSW_Badahara,
Primary School Baijnathpur,UPSW_SemraGhat,
Primary School Baijnathpur,UPSW_Unawal,
Primary School Bargdhi,UPSW_Badahara,
Primary School Bargdhi,UPSW_SemraGhat,
Primary School Bargdhi,UPSW_Unawal,
Primary School Bhata Diha,UPSW_Badahara,
