Station,old_district,new_district,Latitude,Longitude,basis
Aligarh Chandaus  Somana,AGRA,ALIGARH,28.051907,77.940847,name-prefix
Aligarh Chandaus Maharajpur,AGRA,ALIGARH,28.036628,77.935134,name-prefix
Aligarh Jawa Bahadurpur Kota,AGRA,ALIGARH,28.028578,78.035291,name-prefix
Aligarh Jawa Jamalpur Siya,AGRA,ALIGARH,27.980335,78.0421724,name-prefix
Aligarh Jawa Sogera,AGRA,ALIGARH,28.082428,78.045757,name-prefix
Aligarh Khair Arrana,AGRA,ALIGARH,27.931641,77.885149,name-prefix
Aligarh Khair Utwara,AGRA,ALIGARH,27.975292,77.905854,name-prefix
Aligarh Lodha Aisi Kol,AGRA,ALIGARH,27.819827,78.05289,name-prefix
Aligarh Lodha Mahrawalpur Nagariya,AGRA,ALIGARH,27.930579,78.028279,name-prefix
Banda Baberu Anvan,CHITRAKOOT,BANDA,25.571618,80.72094,name-prefix
Banda Baberu Umrehani,CHITRAKOOT,BANDA,25.534149,80.755587,name-prefix
Banda Badokhar Khurd Chatgan,CHITRAKOOT,BANDA,25.574309,80.303325,name-prefix
Banda Bisndha Mrooli,CHITRAKOOT,BANDA,25.420368,80.721114,name-prefix
Banda Kamasin Tilowsa,CHITRAKOOT,BANDA,25.504452,80.834118,name-prefix
Banda Tindwari Bhindowra,CHITRAKOOT,BANDA,25.651513,80.492621,name-prefix
Badaun Salarpur BDO Office,BAREILLY,BUDAUN,28.069433,79.13294,name-prefix
Badaun Ujhani Sports Stadium,BAREILLY,BUDAUN,28.029062,79.098363,name-prefix
Badaun Usawan BDO Office,BAREILLY,BUDAUN,27.810859,79.348935,name-prefix
Deoria Bhaluwani Markna,GORAKHPUR,DEORIA,26.328658,83.796855,name-prefix
Deoria Bhatani Mishrauli Dichit,GORAKHPUR,DEORIA,26.395355,83.950282,name-prefix
Deoria Bhatpar Rani Dharkwan,GORAKHPUR,DEORIA,26.281971,83.98506,name-prefix
Deoria Salempur Manihari,GORAKHPUR,DEORIA,26.324727,83.895237,name-prefix
Deoria Tarkulwa Tarkulwa,GORAKHPUR,DEORIA,26.627487,83.890943,name-prefix
