Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
390713- Jairampur PMS -Shallow,VARANASI,-,-,25.41945,83.03,5,544,2026-01-01 00:00:00,2026-05-30 00:00:00,False
750128- PMS Sulemapur -Medium,VARANASI,-,-,25.44972,82.97389,0,0,,2025-08-14 18:00:00,False
750523- Kakalpur PMS -Medium,VARANASI,-,-,25.4325,82.97945,6,242,2026-01-01 06:00:00,2026-06-02 18:00:00,False
750718- Primary Sch Matuka -Medium,VARANASI,-,-,25.34417,82.76806,2,106,2026-01-01 00:00:00,2026-02-02 00:00:00,False
750825- Primary Sch Shivrampur -Medium,VARANASI,-,-,28.43944,82.97611,1,57,2026-01-01 00:00:00,2026-01-14 18:41:00,False
ASHADHA PRATHMIK VIDYALAYA,KAUSHAMBI,-,-,25.441184,81.392245,9,822,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aadarsh Kisaan Inter College Bhabhuwa,BANDA,-,-,25.625229,80.777277,1,12,2026-08-12 00:00:00,2026-08-15 18:00:00,False
Aadarsh Prathmik Vidhyalaya Mahua,SIDDHARTHNAGAR,-,-,27.245413,83.001053,7,624,2026-01-01 00:00:00,2026-08-15 18:00:00,False
Aagan Waadi Kender Dwarkapur,FATEHPUR,-,-,26.118428,80.342773,7,564,2026-01-01 00:00:00,2026-09-05 18:00:00,False
Aagan Wadi Kendra Chandni,JALAUN,-,-,25.929918,79.141493,9,900,2026-01-02 00:00:00,2026-09-05 18:00:00,True
Aaganwadi Kender Kakrawali,ETAH,-,-,27.5818,78.607615,5,418,2026-05-13 12:00:00,2026-09-05 18:00:00,False
Aaganwadi Kender Khanjarpur,GHAZIABAD,-,-,28.809543,77.60082,1,12,2026-08-12 00:00:00,2026-08-15 18:00:00,False
Aaganwadi Kendra Pakri Bazaar,DEORIA,-,-,26.402128,83.682103,9,902,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aanganwadi Kendra,BAGHPAT,-,-,28.910131,77.42507,7,794,2026-01-01 00:00:00,2026-07-23 12:00:00,False
Aanganwadi kendra,MEERUT,-,-,28.87292,77.825438,7,794,2026-01-01 00:00:00,2026-07-23 06:00:00,False
"Aanganwadi kendra, Barhara",HAMIRPUR,-,-,25.838538,79.690104,7,762,2026-01-01 00:00:00,2026-07-23 06:00:00,False
Aasao Pura,LALITPUR,-,-,24.89788,78.47971,7,551,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Abdullahpur Primary School -Medium,MEERUT,-,-,28.99111,77.76167,5,573,2026-01-01 00:00:00,2026-05-30 00:00:00,False
Abhauli (UP-153),SANT RAVIDAS NAGAR,St Ravidas Nagar,-,25.44555556,82.36944444,2,153,2026-01-01 00:00:00,2026-02-08 00:00:00,False
Adari_2,BANDA,-,-,25.80405,80.47383,6,494,2026-02-01 00:00:00,2026-09-05 18:00:00,False
