Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
ASHADHA PRATHMIK VIDYALAYA,KAUSHAMBI,-,-,25.441184,81.392245,9,822,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aagan Wadi Kendra Chandni,JALAUN,-,-,25.929918,79.141493,9,900,2026-01-02 00:00:00,2026-09-05 18:00:00,True
Aaganwadi Kendra Pakri Bazaar,DEORIA,-,-,26.402128,83.682103,9,902,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Adarsh Primary School, Dubar Kalan",MIRZAPUR,-,-,24.969207,82.40254,9,821,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Agan Wadi Kendra Kuchendu,BANDA,-,-,25.517708,80.72346,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Alakchandra Inter college Bhinga,SHRAWASTI,-,-,27.70074,81.93912,9,807,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Aligarh Chandaus  Somana,AGRA,-,-,28.051907,77.940847,8,826,2026-01-01 00:00:00,2026-08-24 00:00:00,True
Aligarh Chandaus Maharajpur,AGRA,-,-,28.036628,77.935134,8,884,2026-01-01 00:00:00,2026-08-29 00:00:00,True
Aligarh Jawa Bahadurpur Kota,AGRA,-,-,28.028578,78.035291,9,796,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aligarh Jawa Jamalpur Siya,AGRA,-,-,27.980335,78.0421724,9,750,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aligarh Jawa Sogera,AGRA,-,-,28.082428,78.045757,9,837,2026-01-01 06:00:00,2026-09-05 18:00:00,True
Aligarh Khair Arrana,AGRA,-,-,27.931641,77.885149,9,913,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aligarh Khair Utwara,AGRA,-,-,27.975292,77.905854,8,794,2026-01-01 00:00:00,2026-08-29 00:00:00,True
Aligarh Lodha Aisi Kol,AGRA,-,-,27.819827,78.05289,9,849,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Aligarh Lodha Mahrawalpur Nagariya,AGRA,-,-,27.930579,78.028279,9,861,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Amchurnirua,CHITRAKOOT,-,-,25.024236,80.949377,8,653,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Amlour,BANDA,-,-,25.73234167,80.37475,8,678,2026-01-01 18:00:00,2026-09-05 18:00:00,True
"Anganwadi Kedra, Baini",SONBHADRA,-,-,24.723333,83.325833,9,805,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Aryavart Madhyamik Vidhyalaya Sindhora,MIRZAPUR,-,-,25.098525,82.805053,9,813,2026-01-01 00:00:00,2026-09-05 12:00:00,True
