Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26,reason
390713- Jairampur PMS -Shallow,VARANASI,-,-,25.41945,83.03,5,544,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
750523- Kakalpur PMS -Medium,VARANASI,-,-,25.4325,82.97945,6,242,2026-01-01 06:00:00,2026-06-02 18:00:00,False,telemetry_stale
750718- Primary Sch Matuka -Medium,VARANASI,-,-,25.34417,82.76806,2,106,2026-01-01 00:00:00,2026-02-02 00:00:00,False,telemetry_stale
750825- Primary Sch Shivrampur -Medium,VARANASI,-,-,28.43944,82.97611,1,57,2026-01-01 00:00:00,2026-01-14 18:41:00,False,telemetry_stale
Aadarsh Kisaan Inter College Bhabhuwa,BANDA,-,-,25.625229,80.777277,1,12,2026-08-12 00:00:00,2026-08-15 18:00:00,False,sparse_2026
Aadarsh Prathmik Vidhyalaya Mahua,SIDDHARTHNAGAR,-,-,27.245413,83.001053,7,624,2026-01-01 00:00:00,2026-08-15 18:00:00,False,sparse_2026
Aagan Waadi Kender Dwarkapur,FATEHPUR,-,-,26.118428,80.342773,7,564,2026-01-01 00:00:00,2026-09-05 18:00:00,False,sparse_2026
Aaganwadi Kender Kakrawali,ETAH,-,-,27.5818,78.607615,5,418,2026-05-13 12:00:00,2026-09-05 18:00:00,False,sparse_2026
Aaganwadi Kender Khanjarpur,GHAZIABAD,-,-,28.809543,77.60082,1,12,2026-08-12 00:00:00,2026-08-15 18:00:00,False,sparse_2026
Aanganwadi Kendra,BAGHPAT,-,-,28.910131,77.42507,7,794,2026-01-01 00:00:00,2026-07-23 12:00:00,False,telemetry_stale
Aanganwadi kendra,MEERUT,-,-,28.87292,77.825438,7,794,2026-01-01 00:00:00,2026-07-23 06:00:00,False,telemetry_stale
"Aanganwadi kendra, Barhara",HAMIRPUR,-,-,25.838538,79.690104,7,762,2026-01-01 00:00:00,2026-07-23 06:00:00,False,telemetry_stale
Aasao Pura,LALITPUR,-,-,24.89788,78.47971,7,551,2026-02-01 00:00:00,2026-09-05 18:00:00,False,sparse_2026
Abdullahpur Primary School -Medium,MEERUT,-,-,28.99111,77.76167,5,573,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
Abhauli (UP-153),SANT RAVIDAS NAGAR,St Ravidas Nagar,-,25.44555556,82.36944444,2,153,2026-01-01 00:00:00,2026-02-08 00:00:00,False,telemetry_stale
Adari_2,BANDA,-,-,25.80405,80.47383,6,494,2026-02-01 00:00:00,2026-09-05 18:00:00,False,sparse_2026
Aganwadi Kendra Rupauli,CHITRAKOOT,-,-,25.345757,81.210246,7,784,2026-01-01 12:00:00,2026-07-23 12:00:00,False,telemetry_stale
Agra City (UP-017),AGRA,AGRA,-,27.21555556,78.08833333,5,566,2026-01-01 12:00:00,2026-05-30 06:00:00,False,telemetry_stale
Ahmad Ganj,CHITRAKOOT,-,-,25.222,80.884,5,440,2026-02-01 00:00:00,2026-08-26 06:00:00,False,sparse_2026
Ahmadpur Savant (UP-163),SAHARANPUR,Saharanpur,-,29.99055556,77.39555556,6,567,2026-01-01 06:00:00,2026-06-03 18:00:00,False,telemetry_stale
Airayan  (UP-023),FATEHPUR,Fatehpur,-,25.833624,81.184345,5,495,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
Aligarh Chandaus Chuharpur,AGRA,-,-,28.008239,77.983395,9,749,2026-01-23 10:50:00,2026-09-05 18:00:00,False,late_start
Aligarh Gonda Chuhurpur Kinala,AGRA,-,-,27.840112,77.845126,7,492,2026-01-12 00:00:00,2026-08-29 00:00:00,False,sparse_2026
Alipur Aterna_1,MUZAFFARNAGAR,-,-,29.23,77.512,3,257,2026-02-01 00:00:00,2026-04-18 00:00:00,False,telemetry_stale
Allaiha Badhaiya,CHITRAKOOT,-,-,25.06057666,81.1390887,7,438,2026-02-01 00:00:00,2026-09-05 18:00:00,False,sparse_2026
Amauli (UP-027),FATEHPUR,Fatehpur,-,26.012168,80.297794,5,549,2026-01-01 00:00:00,2026-05-30 06:00:00,False,telemetry_stale
Amgaon (UP-067),HAMIRPUR,HAMIRPUR,-,25.661966,79.580432,1,76,2026-01-01 00:00:00,2026-01-19 13:29:00,False,telemetry_stale
Amliha_1,CHITRAKOOT,-,-,25.239118,80.694062,7,460,2026-02-01 00:00:00,2026-09-04 18:00:00,False,sparse_2026
Asafpur (UP-077),BUDAUN,Budaun,-,28.362584,79.003897,5,567,2026-01-01 00:00:00,2026-05-30 12:00:00,False,telemetry_stale
Ashapur Dak Banglow-Malawan-Medium,FATEHPUR,-,-,26.18833333,80.5475,5,569,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
Ashapur Dak Banglow-Malawan-Shallow,FATEHPUR,-,-,26.18833333,80.5475,5,553,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
Atarahat,BANDA,-,-,25.65498,80.43243,4,295,2026-01-01 06:00:00,2026-04-17 00:00:00,False,telemetry_stale
Atrada Pi_1,MEERUT,-,-,28.834626,77.821875,6,428,2026-01-03 00:00:00,2026-07-19 00:00:00,False,telemetry_stale
Aurai (UP-150),SANT RAVIDAS NAGAR,St Ravidas Nagar,-,25.25916667,82.55416667,1,49,2026-01-01 00:00:00,2026-01-15 00:00:00,False,telemetry_stale
"BDO, Bhojpur, Medium",GHAZIABAD,-,-,28.789167,77.636111,5,569,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
"BDO, Loni, Shallow",GHAZIABAD,-,-,28.765556,77.299444,5,565,2026-01-01 00:00:00,2026-05-30 00:00:00,False,telemetry_stale
BHIKHANIPUR PRATHMIK VIDYALAYA,FATEHPUR,-,-,25.955898,80.395203,1,8,2026-08-08 00:00:00,2026-08-11 12:00:00,False,sparse_2026
Baba BelkharNath Dham (UP-045),PRATAPGARH,PRATAPGARH,-,25.820808,81.515117,5,558,2026-01-01 06:00:00,2026-05-30 06:00:00,False,telemetry_stale
