Station,District,lat,lon,sand_0_30,silt_0_30,clay_0_30,bdod_0_30,sand_60_100,silt_60_100,clay_60_100,bdod_60_100
ASHADHA PRATHMIK VIDYALAYA,KAUSHAMBI,25.441184,81.392245,33.4,40.56666666666667,26.0,1.4466666666666665,28.8,37.7,33.5,1.51
Aagan Wadi Kendra Chandni,JALAUN,25.929918,79.141493,38.916666666666664,33.083333333333336,28.016666666666666,1.4083333333333334,36.0,31.9,32.1,1.49
Aaganwadi Kendra Pakri Bazaar,DEORIA,26.402128,83.682103,29.683333333333334,42.96666666666667,27.35,1.3666666666666667,27.4,39.7,32.9,1.46
"Adarsh Primary School, Dubar Kalan",MIRZAPUR,24.969207,82.40254,28.066666666666666,37.916666666666664,33.96666666666667,1.5783333333333334,27.9,36.5,35.6,1.6
Agan Wadi Kendra Kuchendu,BANDA,25.517708,80.72346,28.766666666666666,44.75,26.4,1.4316666666666664,24.8,42.5,32.7,1.51
Alakchandra Inter college Bhinga,SHRAWASTI,27.70074,81.93912,38.56666666666667,37.766666666666666,23.666666666666668,1.3933333333333333,38.3,37.1,24.7,1.5
Aligarh Chandaus  Somana,AGRA,28.051907,77.940847,43.916666666666664,32.88333333333333,23.216666666666665,1.4466666666666665,40.5,34.1,25.3,1.53
Aligarh Jawa Bahadurpur Kota,AGRA,28.028578,78.035291,46.96666666666667,28.316666666666666,24.716666666666665,1.46,44.0,29.3,26.7,1.52
Aligarh Chandaus Maharajpur,AGRA,28.036628,77.935134,46.766666666666666,28.883333333333333,24.333333333333332,1.4666666666666666,43.1,29.9,27.0,1.54
Amchurnirua,CHITRAKOOT,25.024236,80.949377,39.21666666666667,35.4,25.333333333333332,1.5283333333333333,37.3,35.8,26.9,1.58
Aligarh Khair Utwara,AGRA,27.975292,77.905854,43.13333333333333,31.266666666666666,25.65,1.4266666666666665,39.0,31.2,29.8,1.53
Aligarh Jawa Sogera,AGRA,28.082428,78.045757,47.5,29.016666666666666,23.466666666666665,1.4483333333333333,44.1,29.3,26.6,1.52
Amlour,BANDA,25.73234167,80.37475,35.3,39.38333333333333,25.316666666666666,1.4483333333333335,32.5,38.9,28.7,1.52
"Anganwadi Kedra, Baini",SONBHADRA,24.723333,83.325833,21.216666666666665,37.016666666666666,41.75,1.6233333333333335,20.1,35.5,44.4,1.68
