driver,metric,mode,corr,stations_ok
canal_level,pearson,raw,-0.1861,76
canal_level,spearman,deseason,-0.1041,57
canal_level,spearman,diff,-0.0095,76
canal_level,spearman,raw,-0.1459,76
humidity,pearson,raw,0.1419,101
humidity,spearman,deseason,-0.1579,101
humidity,spearman,diff,-0.0139,101
humidity,spearman,raw,0.0845,101
pressure,pearson,raw,-0.0065,127
pressure,spearman,deseason,0.2054,105
pressure,spearman,diff,-0.0136,127
pressure,spearman,raw,0.1991,127
rain,pearson,raw,-0.0136,539
rain,spearman,raw,0.0023,539
rain_1d,pearson,raw,-0.0136,539
rain_1d,spearman,diff,-0.007,479
rain_1d,spearman,raw,0.0023,539
rain_30d,pearson,raw,-0.2546,75
rain_30d,spearman,diff,0.013,75
rain_30d,spearman,raw,-0.1986,75
rain_7d,pearson,raw,0.0511,325
rain_7d,spearman,diff,0.0228,270
rain_7d,spearman,raw,0.0115,325
river_level,pearson,raw,0.4339,78
river_level,spearman,deseason,0.1675,76
river_level,spearman,diff,0.1015,78
river_level,spearman,raw,0.4092,78
solar,pearson,raw,-0.0394,101
solar,spearman,deseason,-0.0729,87
solar,spearman,diff,0.0043,101
solar,spearman,raw,-0.0552,101
temp,pearson,raw,-0.0455,118
temp,spearman,deseason,0.0917,104
temp,spearman,diff,0.0189,118
temp,spearman,raw,-0.0406,118
wind_dir,pearson,raw,0.0821,127
wind_dir,spearman,raw,-0.0229,127
wind_speed,pearson,raw,-0.0204,143
wind_speed,spearman,deseason,-0.0059,143
wind_speed,spearman,diff,0.0019,143
wind_speed,spearman,raw,-0.0953,143
