rank,feature,importance_mean,importance_std
1,gwl_roll30_std,0.002056427061524957,0.0012422834224433093
2,temp_7d,0.0004968701783301555,1.606136666963524e-05
3,lag28,0.0002556450662485332,4.3027587465741173e-05
4,hour_cos,8.07528883324693e-05,2.6395374473983148e-05
5,st_id,5.819262349753274e-05,0.000428443669211723
6,lag4,1.6788655166166676e-05,2.1114883800115416e-05
7,rain_7d,3.291844634745189e-06,0.00015475254676237002
8,month_cos,0.0,0.0
9,humidity_7d,0.0,0.0
10,wind_speed,0.0,0.0
11,temp,0.0,0.0
12,solar,0.0,0.0
13,pressure,0.0,0.0
14,river_level,0.0,0.0
15,canal_level,0.0,0.0
16,year,0.0,0.0
17,rain_1d,0.0,0.0
18,humidity,0.0,0.0
19,gwl_roll30_mean,-5.0695512759091346e-05,0.0007784225382563531
20,lag8,-0.00015671819427325316,4.4900096845218816e-05
21,gwl_roll7_std,-0.0002636175293197596,0.001015472660015346
22,hour_sin,-0.00030099125601523724,3.007634293250116e-06
23,month_sin,-0.0005219161314617083,0.0003397036599439523
24,dist_id,-0.0019186106648660939,0.0005986839998363249
25,lag120,-0.002534131241063875,0.0004379292638475039
26,lag1,-0.0038303033311191115,0.0002996879264273273
27,gwl_roll7_mean,-0.003851918422478562,0.0005955420325265123
28,rain_30d,-0.004206855488131822,0.0015731640635592008
29,monsoon,-0.011353072601500003,0.000784605030299949
30,doy_sin,-0.013295129149793894,0.0020757217794932633
31,gwl,-0.019811685357223396,0.000747472296598231
32,doy_cos,-0.027383803677430762,0.0016092894994207002
