feature,gain,freq
monsoon,25381.7890625,149.0
gwl_roll7_std,21670.701171875,172.0
doy_sin,14347.2861328125,265.0
gwl_roll30_std,10718.30859375,369.0
year,10004.12890625,103.0
doy_cos,7990.705078125,226.0
lag1,7534.9111328125,85.0
gwl,7330.55615234375,333.0
month_sin,7019.10107421875,50.0
hour_sin,6426.783203125,72.0
gwl_roll30_mean,6329.87841796875,121.0
lag120,5723.26513671875,184.0
lag28,5447.74755859375,160.0
lag4,5311.79296875,81.0
humidity_7d,2776.857177734375,19.0
rain_30d,2589.3251953125,201.0
st_id,2239.030029296875,243.0
gwl_roll7_mean,1805.5721435546875,63.0
dist_id,1748.1805419921875,167.0
temp_7d,1588.765625,25.0
lag8,1548.898193359375,77.0
wind_speed,1395.9044189453125,5.0
month_cos,1391.5018310546875,15.0
hour_cos,1191.471435546875,56.0
pressure,549.962646484375,6.0
rain_7d,515.8671264648438,54.0
canal_level,372.3697204589844,18.0
river_level,348.65240478515625,4.0
temp,337.013916015625,1.0
rain_1d,313.84832763671875,26.0
solar,205.68466186523438,1.0
humidity,184.2096710205078,1.0
