district,n,n_decline,n_recover,median_change_m,decline_share
ALIGARH,9,0,0,0.044,0.0
AZAMGARH,22,0,0,0.0795,0.0
BAGHPAT,28,0,0,0.028,0.0
BANDA,19,0,0,0.028,0.0
BAREILLY,2,0,0,0.04,0.0
BUDAUN,8,0,0,0.054,0.0
CHITRAKOOT,7,0,0,0.028,0.0
DEORIA,18,0,0,0.086,0.0
ETAH,9,0,0,0.051,0.0
FATEHPUR,13,0,0,0.028,0.0
FIROZABAD,1,0,0,0.035,0.0
GHAZIABAD,5,0,0,0.051,0.0
GORAKHPUR,39,0,0,0.086,0.0
HAMIRPUR,10,0,0,0.118,0.0
HATHRAS,2,0,0,0.04,0.0
JALAUN,13,0,0,-0.008,0.0
JAUNPUR,15,0,0,0.099,0.0
JHANSI,21,0,0,0.052,0.0
KANSIRAM NAGAR,1,0,0,0.043,0.0
KAUSHAMBI,6,0,0,0.028,0.0
KUSHINAGAR,15,0,0,-0.078,0.0
LALITPUR,18,0,0,0.015,0.0
MAHARAJGANJ,8,0,0,-0.077,0.0
MAHOBA,9,0,0,-0.067,0.0
MAINPURI,5,0,0,0.021,0.0
MATHURA,8,0,0,0.028999999999999998,0.0
MEERUT,23,0,0,0.026,0.0
MIRZAPUR,22,0,0,0.104,0.0
MUZAFFARNAGAR,28,0,0,0.028,0.0
PRATAPGARH,4,0,0,0.028,0.0
SAHARANPUR,26,0,0,0.031,0.0
SANT RAVIDAS NAGAR,16,0,0,0.115,0.0
SHAHJAHANPUR,15,0,0,0.024,0.0
SHRAWASTI,6,0,0,0.025,0.0
SIDDHARTHNAGAR,7,0,0,-0.044,0.0
SONBHADRA,25,0,0,0.094,0.0
VARANASI,19,0,0,0.105,0.0
