station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
Ramchhitoni Sahawar (UP-011),KANSIRAM NAGAR,-2.841,2026-09-05 00:00:00,5,True,-2.72,-4.268,-2.798,-1.284,0.043,0.121,1.492,True,stable
Mahgaon (UP-031),KAUSHAMBI,-17.171,2026-09-03 18:00:00,6,True,-16.881,-18.637,-17.099,-12.496,0.072,0.29,3.071,True,stable
Awagarh (UP-005),ETAH,-17.599,2026-09-05 00:00:00,5,True,-17.353,-19.022,-17.521,-15.56,0.078,0.246,1.731,True,stable
Mandi Samiti-Muzaffar Nagar-Medium,MUZAFFARNAGAR,-17.457,2026-08-24 18:00:00,16,True,-17.196,-18.91,-17.429,-13.269,0.028,0.261,2.82,True,stable
Block Development Office-Khekra-Shallow,BAGHPAT,-28.398,2026-09-05 00:00:00,5,True,-28.152,-29.821,-28.34,-26.753,0.058,0.246,1.534,True,stable
Salhakheri,MUZAFFARNAGAR,-22.815,2026-09-05 00:00:00,5,True,-22.554,-24.268,-22.791,-18.463,0.024,0.261,2.902,True,stable
Halwana,SAHARANPUR,-11.013,2026-09-05 00:00:00,5,True,-10.723,-12.479,-10.985,-5.861,0.028,0.29,3.309,True,stable
Goyla,MUZAFFARNAGAR,-18.932,2026-09-05 00:00:00,5,True,-18.671,-20.377,-18.904,-13.834,0.028,0.261,3.272,True,stable
Badhai Khurd Pr. Vid.,MUZAFFARNAGAR,-6.65,2026-09-05 00:00:00,5,True,-6.389,-8.08,-6.622,-1.959,0.028,0.261,3.06,True,stable
Srikantpur Pr. Vid.,AZAMGARH,-5.998,2026-09-05 00:00:00,5,True,-5.641,-7.428,-5.893,-0.432,0.105,0.357,3.498,True,stable
Sanjhak,MUZAFFARNAGAR,-13.233,2026-09-05 00:00:00,5,True,-12.972,-14.699,-13.205,-8.369,0.028,0.261,3.165,True,stable
Navrasia,AZAMGARH,-4.157,2026-09-05 00:00:00,5,True,-3.812,-5.596,-4.03,-1.103,0.127,0.345,2.246,True,stable
Khursropur,MUZAFFARNAGAR,-11.019,2026-09-05 00:00:00,5,True,-10.758,-12.449,-10.991,-5.866,0.028,0.261,3.291,True,stable
Rajapur Sikraur,AZAMGARH,-5.526,2026-09-05 00:00:00,5,True,-5.252,-6.956,-5.427,-0.728,0.099,0.274,3.114,True,stable
Singhara Pr. Vid.,AZAMGARH,-0.935,2026-09-05 00:00:00,5,True,-0.898,-2.374,-1.013,0.028,-0.078,0.037,1.201,True,stable
Paderi,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Khojapur,AZAMGARH,-10.009,2026-09-05 00:00:00,5,True,-9.652,-11.475,-9.91,-3.557,0.099,0.357,3.959,True,stable
Gyana Majra Pr. Vid.,MUZAFFARNAGAR,-11.784,2026-09-05 00:00:00,5,True,-11.523,-13.214,-11.756,-6.429,0.028,0.261,3.392,True,stable
Aswaniya Pr. Vid.,AZAMGARH,-3.544,2026-09-05 00:00:00,5,True,-3.27,-4.974,-3.451,-0.825,0.093,0.274,2.074,True,stable
Bhitari_2,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Pathrodi,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Sikhula Pz._1,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Amchurnirua,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Shitalpur_1,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Luktra,BANDA,,2026-09-04 18:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Jamalpur_2,LALITPUR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Chakara  P_1,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Jr. High School, Purwa Tarouha",CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
"Primary School, Bamhauri",JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
High School & Inter College Boroda,MUZAFFARNAGAR,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Naglakabu_1,MEERUT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Dhikauli,JHANSI,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Pahara_2,CHITRAKOOT,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Narajit,BANDA,,2026-09-05 00:00:00,5,False,,,,,-20.861,-20.861,,False,unreliable
Satti Chau Prathmik Vidyalaya,SHRAWASTI,-6.751,2026-09-05 00:00:00,5,True,-6.49,-8.181,-6.723,-1.855,0.028,0.261,3.163,True,stable
