Station,block
ASHADHA PRATHMIK VIDYALAYA,1
Aagan Wadi Kendra Chandni,2
Aaganwadi Kendra Pakri Bazaar,3
"Adarsh Primary School, Dubar Kalan",1
Agan Wadi Kendra Kuchendu,2
Alakchandra Inter college Bhinga,3
Aligarh Chandaus  Somana,4
Aligarh Chandaus Maharajpur,4
Aligarh Jawa Bahadurpur Kota,4
Aligarh Jawa Jamalpur Siya,4
Aligarh Jawa Sogera,4
Aligarh Khair Arrana,4
Aligarh Khair Utwara,4
Aligarh Lodha Aisi Kol,4
Aligarh Lodha Mahrawalpur Nagariya,4
Amchurnirua,2
Amlour,2
"Anganwadi Kedra, Baini",1
Aryavart Madhyamik Vidhyalaya Sindhora,1
Aswaniya Pr. Vid.,1
Awagarh (UP-005),4
Azamgarh Ahiraula Bahera,3
Azamgarh Ahiraula Kandara,3
Azamgarh Atrauliya Atrauliya,3
Azamgarh Jahanganj Godhaura,3
Azamgarh Lalganj Lalganj,1
Azamgarh Palhana Balahi Lahucha,1
Azamgarh Palhana Jamui Bhatauli,1
Azamgarh Pavai Velasiya,1
Azamgarh Sathiyavn Gajahada,3
Azamgarh Thekama Bardah,1
B.D.O Office Bhatini,3
B.D.O. Office Lar,3
"B.D.O. Office, Binauli",0
BADHANI PRATHMIK VIDYALAYA,3
BANI KHAS C.V. VIDYALAYA,1
BANSGAON PRATHMIK VIDYALAYA,3
Babina Rular,2
Badaun Salarpur BDO Office,4
Badaun Ujhani Sports Stadium,4
Badaun Usawan BDO Office,4
Badhai Khurd Pr. Vid.,0
Badhouli,2
Baghora_1,2
Baghpat Meerut Kheda Balrampur Itiyara,0
Banda Baberu Anvan,2
Banda Baberu Umrehani,2
Banda Badokhar Khurd Chatgan,2
Banda Bisndha Mrooli,2
Banda Kamasin Tilowsa,2
Banda Tindwari Bhindowra,2
Bdo Office Campus Pipraich,3
Bhadarwara  P_1,2
Bhitari_2,1
Bijijauri_1,2
Birdha /Poorabirdha,2
Block Deoria Campus Deoria Sadar,3
Block Development Office-Khekra-Shallow,0
"Block Office, Kurara",2
"Block office, Gursarai",2
Budh Sainy_1,0
Chakara  P_1,2
Chandi Kalan,2
Chhibaw_1,2
Chirautha,2
Chitrakoot Karvi Khoha,2
Chitrakoot Karvi Shivrampur,2
Chitrakoot Manikpur Agarhudha,2
Chitrakoot Manikpur Sardar Patel,2
Chorwa Bhari Prathmik Vidyalaya,3
"Community Center, Ghorawal",1
Comosite School Campus Badalganj,3
Composite Girls Primary School Mai,2
Composite School Basantpur Saitali-1,0
Composite School Biralsi,0
Composite School Kilhora,0
Composite School Nagla Bair,0
Composite School Sagarpur,1
Composite School Sanjarpur,1
Composite School katar,1
"Composite School, Dhamna Khurd",2
"Composite School, Ghamhapur",1
"Composite School, Mungari",1
"Composite School, Pathraha",1
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",3
Composite Upper Primary School Sajania,3
DEOCHALI C.V. VIDYALAYA,2
Datt Naga_1,0
Deoria Bhaluwani Markna,3
Deoria Bhatani Mishrauli Dichit,3
Deoria Bhatpar Rani Dharkwan,3
Deoria Salempur Manihari,3
Deoria Tarkulwa Tarkulwa,3
Devrar_1,2
Dhikauli,2
Etah Aavagarh Badhawali,4
Etah Jalesar Hasangarh,4
Etah Jalesar Sakrauli,4
FAREDUPUR PRATHMIK VIDYALAYA,1
Firozabad Madanpur Rudhawali,4
Fugana_1,0
GOVINDPUR BILARI PRATHMIK VIDYALAYA,2
Gadhela Panchayat Bhawan,2
Gloragundera/Gewara,2
Gorakhpur Barahalganj Bhatpar (Saukhor),3
Gorakhpur Barahalganj Ojhauli,3
Gorakhpur Belghat Belghat,3
Gorakhpur Belghat Murarpur,3
Gorakhpur Chargaon Beniganj,3
Gorakhpur Gagaha Gagaha,3
Gorakhpur Gola Dhakwarchak,3
Gorakhpur Gola Gopalpur Patham,3
Gorakhpur Gola Turkwaliya,3
Gorakhpur Kauriram Dhausa,3
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,3
Gorakhpur Pali Dumari Niwas,3
Gorakhpur Pali Pali,3
Gorakhpur Sahjanwa Kasrol,3
Gorakhpur Sardarnagr Awadpur,3
Gorakhpur Urwa Malhanpar,3
Goshala Bada Gaon,2
Goshala Bankat,2
Goshala Basela,2
Goshala Bhadehdu,2
Goshala Churaha,2
Goshala Ghuri,2
Goshala Pachhahan,2
Goyla,0
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",2
Grampunchayat Sachiwalaya Deori,1
Gundaha,2
Gyana Majra Pr. Vid.,0
HARNHAPUR PRATHAMIK VIDYALAYA,1
HOLAGARH PURV MADHYAMIK VIDYALAYA,1
Halwana,0
Hamirpur Kurara Damar,2
Hamirpur Kurara Jalokhar,2
Hamirpur Sarila Purani,2
Hamirpur Sumerpur Etara,2
Hamirpur Sumerpur Para,2
Hathras Hathras Hathras,4
Hathras Mursan Chandapa Sandh,4
High School & Inter College Boroda,0
"ITI Campus, ITI Campus Area",0
Inter Collage Khampar,3
"Inter College, Sarv Hitakari",0
"Inter college, Tindwara",2
"Irrigation Department, Amawar",1
Jamalpur_2,2
"Janata Inter College, Lachheda",0
Jauharpur,2
Jaunpur Dobhi Bagerwa,1
Jaunpur Dobhi Bankati,1
Jaunpur Dobhi Kachhawan,1
Jaunpur Dobhi Kakarapar,1
Jaunpur Jalalpur Katuwani,1
Jaunpur Jalalpur Vanpurwa,1
Jaunpur Jalalpur Vind,1
Jaunpur Kerakat  Kharg Senpur,1
Jaunpur Kerakat Barbaspur (Sohani),1
Jaunpur Kerakat Mahali,1
Jaunpur Kerakat Nihalapur,1
Jaunpur Rampur Kamaruddin,1
Jaunpur Rampur Kaseru Nonara,1
Jaunpur Rampur Kathwatiya,1
Jaunpur Rampur Sultanpur,1
Jaurahi_1,2
"Jr. High School, Purwa Tarouha",1
Junior High School Sihiriya,2
KOSHAK IMAM PRATHMIK VIDYALAYA,1
Kamhariya_1,2
Kandhari Kala,2
Khedki_1,0
Khojapur,3
Khursropur,0
Kukwa Khaas,2
Kusarma,2
Kushinagar Captanganj Captanganj,3
Kushinagar Captanganj Senduriya Vishunpur,3
Kushinagar Dudhai Dudhai,3
Kushinagar Dudhai Gorariya,3
Kushinagar Dudhai Lala Chhapra,3
Kushinagar Fazilnagar  Belwakala,3
Kushinagar Fazilnagar Jokwa Bujurg,3
Kushinagar Fazilnagar Narayanpur Khoti,3
Kushinagar Khadda Basdila,3
Kushinagar Khadda Khadda,3
Kushinagar Motichak Mathauli Bazar,3
Kushinagar Motichak Motichak,3
Kushinagar Sewarhi  Rampur Bagra N0.2,3
Kushinagar Sewarhi Sewarhi,3
Kushinagar Tamkuhi Rajwatiya,3
Kushinagar Tamkuhi Tamkuhi,3
Ladaka Purwa,2
Lagdi Gullar Prathmik Vidyalaya,3
Luktra,2
MANDHATA PURV MADHYAMIK VIDYALAYA,1
Madarpur_1,2
"Madhyamik Vidhyalaya, Dulha Daul",1
"Mahadeva Temple, Mahadeva",1
Maharajganj Dhani Nausagar,3
Maharajganj Mithaura Bhagatar,3
Maharajganj Mithaura Madanpura,3
Maharajganj Nautanwa Purniha,3
Maharajganj Nautanwa Sampatiha,3
Maharajganj Nichlaul Balaekhor,3
Maharajganj Nichlaul Garaura,3
Maharajganj Siswa Siswa,3
Mahgaon (UP-031),1
Mahoba Charkhari Kuaan,2
Mahoba Charkhari Natara,2
Mahoba Charkhari Padha,2
Mahoba Jaitpur saguniyamaph,2
Mahoba Kabrai Karaha,2
Mahoba Kabrai Sisri Kala,2
Mahoba Panwari Didvara,2
Mainpuri Karhal  Rajpur,4
Mainpuri Karhal Mohabbatpur,4
Mainpuri Karhal Naglamdari,4
Mainpuri Karhal Takhrau,4
Mainpuri Karhal Timrakh,4
Mandi Samiti-Muzaffar Nagar-Medium,0
Mankuwar,1
Mathura Baldeo  Khanpur,4
Mathura Chaumuha Navagaon-11,4
Mathura Chhata Chandauri,4
Mathura Chhata Sher Nagar,4
Mathura Nandgaon Nandgaon Dehat,4
Mathura Nandgaon Vathainkala,4
Mathura Naujheel Badharra,4
Mathura Pharah Nagala Medhaki,4
Mathura Rayan Kharaba,4
Meerut Janikhurd Afjalpur Pavati,0
Meerut Janikhurd Satvai,0
Meerut Sardhana Chhabariya,0
Murwa_1,2
"Nagar Palika Campus, Gyanpur",1
Naglakabu_1,0
Narajit,2
Navrasia,1
Niwabhari Prathmik Vidyalaya,3
"Office of Assistant Director, Resham",1
"Office of the Development Officer, Dakore",2
P.S Engohata,2
PAHARPUR BARIGAWA PRATHMIK VIDYALAYA,2
PRIMARY SCHOOL BAKAR GANJ,1
PRIMARY SCHOOL RAMUGHAT,3
Paderi,2
Pahara_2,2
Palhari_1,2
Panchayat Bhawan  Suhel,1
"Panchayat Bhawan , Jafarabad Nagla",0
Panchayat Bhawan Kuda Nar Singhpur,4
Panchayat Bhawan Usmanpur,4
"Panchayat Bhawan, Dohri",1
"Panchayat Bhawan, Kul Doomri",1
"Panchayat Bhwan, Kon",1
Patanpur_1,2
Pathrodi,2
Perthivipur Nayakh,2
Piparaond,1
Pipraundha,2
Poorv Madhamik Vidhyalaya Kaseti,4
"Prathmik Vidhyala, Riawali Nagla",0
Prathmik Vidhyalaya Bant,2
Prathmik Vidhyalaya Barha,2
Prathmik Vidhyalaya Mahugarh,1
Prathmik Vidhyalaya Manohari,2
Prathmik Vidhyalaya Pahalgaon,2
Prathmik Vidhyalaya Pipra Sarvan,3
Prathmik Vidhyalaya Sirasiya Pawar,3
Prathmik Vidhyalaya Takuli (Durahi Maafi),2
"Prathmik Vidhyalaya, AhmadShahPur Padra",0
"Prathmik Vidhyalaya, Bali",0
"Prathmik Vidhyalaya, Bichpari Kamali",0
"Prathmik Vidhyalaya, Biharipur",0
"Prathmik Vidhyalaya, Didhora  Sadullapur",0
"Prathmik Vidhyalaya, Doula",0
"Prathmik Vidhyalaya, Gwalikhera",0
"Prathmik Vidhyalaya, Katiliaha",2
"Prathmik Vidhyalaya, Khampur",0
"Prathmik Vidhyalaya, Khera Islampur",0
"Prathmik Vidhyalaya, Makarndpur",2
"Prathmik Vidhyalaya, Medpur",0
"Prathmik Vidhyalaya, Nehlawa",3
"Prathmik Vidhyalaya, Phaprana",0
"Prathmik Vidhyalaya, Ramnagar",0
"Prathmik Vidhyalaya, Shahjahanpur_1",0
"Prathmik Vidhyalaya, Sikhera_1",0
"Prathmik Vidhyalaya, Taizullahpur",0
"Prathmik Vidhyalaya, Thavai",2
"Prathmik Vidhyalaya, vilodhpura",0
"Pratmik Vidhyalaya, Kakaruwa",2
Priamry School Mukasim,1
"Primary  School, Nawada Kalan",1
"Primary / Composite School, Banwaripur",0
"Primary / Composite School, Chiraudi",0
"Primary / Composite School, Jainpur",0
"Primary / Composite School, Jasad",0
"Primary / Composite School, Mahalaka",0
"Primary / Composite School, Mohaddinpur",0
"Primary / Composite School, Pepala",0
"Primary / Composite School, Saradhana Block Office",0
Primary School  Bihasara,1
Primary School  Biraura,1
Primary School  Maharaji,3
Primary School Ashadh,1
Primary School Babura,1
Primary School Baijnathpur,3
Primary School Bargdhi,3
Primary School Bhata Diha,3
Primary School Bilona,2
Primary School Campus Aurangabad,1
Primary School Campus Powai,3
Primary School Campus Sikraura,1
Primary School Chandrapur Bichpuri,4
Primary School Charkonwa,1
Primary School Chobla,0
Primary School Cholahe,3
Primary School Didhai,3
Primary School Dohriya,3
Primary School English Medium Qutubpur Labdauna,0
Primary School Gudha,2
Primary School Harinahpur,1
Primary School Harivanshpur,3
Primary School Jagannathpur,4
Primary School Jagdishpur Pratham,3
Primary School Jainpur,3
Primary School Jairampur,2
Primary School Jamunia,1
Primary School Jatmujheda,0
Primary School Karwal,3
Primary School Keshawpur Pratham,3
Primary School Kucharam,2
Primary School Kurdi,0
Primary School Madari,2
Primary School Mainhe hardo,3
Primary School Masuri,0
Primary School Mohammadpur Gurjar,0
Primary School Nandapur,2
Primary School No. 1 Barawad,0
"Primary School No.1, Bitaoda",0
Primary School Odaraha,3
Primary School Pahara,4
Primary School Pinna,0
Primary School Radnool Azizpur,4
Primary School Rathoda,0
"Primary School Sahjanwa , Pratham Pipra",3
Primary School Sahori,4
Primary School Salawa,0
Primary School Sanda-Sanee,2
Primary School Shekhpuri,0
Primary School Sonda,0
Primary School Vamanpura,4
Primary School chandsina,0
Primary School kakrehwa,3
