station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
ASHADHA PRATHMIK VIDYALAYA,KAUSHAMBI,7,7,754,0.4599048262931245,0.5993441794737512,1.7859502181794282,1.6985521152454894,0.43686146054784797,0.5556342920908606,2.7858233607340606,2.853327788260911
Aagan Wadi Kendra Chandni,JALAUN,7,7,825,1.6091068606571004,1.0208772228501684,1.3899860910828155,1.317638510800744,1.8517683988767588,1.0675566844415445,4.420167374486637,3.597594617242182
Aaganwadi Kendra Pakri Bazaar,DEORIA,7,7,821,0.32086184241857235,0.29601873517061206,0.3906147123021689,0.4457592779502543,0.35010485172748557,0.3949773908080595,0.2756133516054042,0.24855534828426898
"Adarsh Primary School, Dubar Kalan",MIRZAPUR,7,7,754,0.49890171444514425,0.3472000243965648,0.9200660167482411,0.769130836981237,0.47987015908384306,0.3616589044269968,0.7828622552024452,0.5875855603247586
Alakchandra Inter college Bhinga,SHRAWASTI,7,7,745,0.47326151572118125,0.44476070719356403,1.1456311442519047,1.1898658988322834,0.48003677363911396,0.4054768119016197,1.37857920839143,0.7090764341297862
Aligarh Chandaus  Somana,ALIGARH,6,6,663,0.5119939478547078,0.44509545861089883,1.3776703586143488,1.405807358717253,0.5505951325550937,0.551531674551937,2.458617939014562,2.3225489786851004
Aligarh Chandaus Maharajpur,ALIGARH,7,7,831,0.4999193243124095,0.3911456868427068,0.3954967711502885,0.36169757044581724,0.5428839068196508,0.4795581492455633,1.1085827431895954,0.8410651522193616
Aligarh Jawa Bahadurpur Kota,ALIGARH,6,6,682,0.35169204259558273,0.3579080552832256,2.2965993957344195,2.4192609923441455,0.4742040387114369,0.483783123034358,3.145061499454927,3.001021987750504
Aligarh Jawa Jamalpur Siya,ALIGARH,5,5,599,0.2873672037626455,0.3569660714123729,1.8109948363171247,1.890673116195555,0.17136570361945155,0.2139214803376141,2.030950412990956,1.92192795825861
Aligarh Jawa Sogera,ALIGARH,6,6,696,0.6761373392414924,0.6962260747483624,0.7503959717507157,0.7540998070163574,0.826054571121746,0.8452134138619642,0.9851034839289387,1.0166983511968477
Aligarh Khair Arrana,ALIGARH,8,8,854,0.5007356972733175,0.47859094248662354,0.5259752739767859,0.5048355476955716,0.5436191237344193,0.5660299719585202,1.2651310283420054,1.1633918586415637
