slug,district,old_label,new_label,old_coverage,new_coverage,old_1step_r2,new_1step_r2,old_1step_nrmse,new_1step_nrmse,old_multi_r2,new_multi_r2,old_multi_nrmse,new_multi_nrmse,old_r2_meaningful,new_r2_meaningful,gwl_span
390713- Jairampur PMS -Shallow_UPGW_dae67f3f,VARANASI,weak,directional,0.3755555555555555,1.0,0.9570139633390508,0.5233911061292651,0.0711117620853349,0.1836022874618795,-2.656272435151295,-1.1304341277905323,0.3786486254541402,0.2128762466566908,False,False,0.365
750128- PMS Sulemapur -Medium_UPGW_df2d1410,VARANASI,directional,directional,1.0,1.0,0.960628536919584,0.960628536919584,0.0584810902316981,0.0584810902316981,-1.0064644003869223,-1.0064644003869223,0.2513589874337498,0.2513589874337498,False,False,0.1099999999999994
750523- Kakalpur PMS -Medium_UPGW_0d39e8d9,VARANASI,weak,reliable,0.6755555555555556,0.9111111111111112,0.981700263070866,0.9782013018273232,0.0314602124755163,0.0423460876606019,-10.90555223118928,-4.598552191634401,0.4601915090946919,0.3802102757187233,True,True,1.2420000000000009
750718- Primary Sch Matuka -Medium_UPGW_48d03f9d,VARANASI,reliable,reliable,0.9947089947089948,0.8792929292929293,0.983916963875766,0.9936934330597694,0.0222785814677312,0.022189614934999,0.4534429997964528,-1.5469237746204407,0.070060251056528,0.2390478118363976,True,True,7.093
750825- Primary Sch Shivrampur -Medium_UPGW_c0672bcb,VARANASI,reliable,reliable,0.9842592592592592,0.9148148148148147,0.923111253584897,0.9546589784485036,0.0486712185563859,0.0488784695422068,-0.0532484775585162,-1.236441522494074,0.1001769039040106,0.1934576484280251,True,True,7.165000000000001
ASHADHA PRATHMIK VIDYALAYA_UPGW_5f5b3671,KAUSHAMBI,directional,weak,0.9477366255144032,0.5993464052287582,0.7559531555355575,0.8272321197501625,0.0658666263710232,0.0860702198008583,-12.040326244435542,-1.12495086515557,0.2524399842282276,0.1563531809268248,True,True,2.773000000000001
Aadarsh Kisaan Inter College Bhabhuwa_UPGW_7154da63,BANDA,weak,weak,0.5133333333333333,0.4488888888888889,0.977313477483826,0.9824210360916864,0.0443045127912568,0.043088263721554,-3.1938104278260804,-3.266947850837488,0.3944943567719084,0.4419082131414708,True,True,6.334
Aadarsh Prathmik Vidhyalaya Mahua_UPGW_eaeeb30a,SIDDHARTHNAGAR,reliable,directional,0.8646464646464647,0.9196078431372549,0.9700390456111057,0.985750936530279,0.0418904979692163,0.0343689696115122,-0.6658181437583457,-12.911008122367296,0.1786925321918557,0.5810934033619639,True,False,0.665
Aagan Waadi Kender Dwarkapur_UPGW_239fec31,FATEHPUR,directional,directional,0.9363636363636364,0.9381944444444444,0.988929264905454,0.99746399183033,0.0226719484818353,0.0140940671141069,-5.225163814609042,-33.82168620331752,0.3113346465047231,0.9129163854055642,True,True,1.974
Aagan Wadi Kendra Chandni_UPGW_7ceead1b,JALAUN,reliable,reliable,0.8323232323232324,0.9006172839506172,0.9902820688080268,0.9901075563418004,0.0305705985807242,0.0205717631653636,-1.4091474853694943,-2.825855926012652,0.2710790489024433,0.2211307822899823,True,True,7.1240000000000006
Aaganwadi Kender Kakrawali_UPGW_a060205f,ETAH,weak,directional,0.6839506172839506,1.0,0.9790928857627246,0.8520108417776939,0.0308674624826205,0.1091185220269869,-0.3904826029006925,-0.5020819581883535,0.1461421447564352,0.1967689243693188,True,True,2.693
Aaganwadi Kender Khanjarpur_UPGW_21679f87,GHAZIABAD,weak,weak,0.3838383838383838,0.4484848484848485,0.895196824598274,0.8338437510964167,0.0766513021922126,0.09533748674691,-1.4135695472914338,-0.7223705001929186,0.2097840975558068,0.1755996138439922,True,True,1.1209999999999989
Aaganwadi Kendra Pakri Bazaar_UPGW_e5c3ae90,DEORIA,reliable,reliable,0.89,0.8176470588235294,0.8639144492115205,0.9835994827513244,0.0710674165178976,0.0337250471502205,-1.0985298450045495,-1.7067988466292707,0.1600466897932733,0.2380822710702915,True,True,1.3620000000000003
Aanganwadi Kendra_UPGW_af5faaa7,BAGHPAT,directional,weak,0.87953216374269,0.7310185185185185,-9.893144474578254,0.9211120868310756,0.6817656051157523,0.0814097902260636,-17.3415963470356,-366.3949975076551,0.4783700356247339,2.945136926919543,True,False,0.2240000000000002
"Aanganwadi kendra, Barhara_UPGW_d575ae21",HAMIRPUR,weak,weak,0.6296296296296297,0.6865079365079365,0.959895105714574,-410.0180228069632,0.0700956461816796,6.211888242473644,-1.818143008192672,-639.0764400180456,0.3185076286863749,4.334828901069341,True,False,0.4719999999999995
Aanganwadi kendra_UPGW_5d843c8d,MEERUT,weak,directional,0.6607407407407407,0.7788359788359789,-2.422806253372148,0.934367318412507,0.4278378010362001,0.0854326760236551,-754.020056741219,-54.6758699306607,3.4889726073464447,1.331267016077456,True,True,1.0259999999999998
Aasao Pura_UPGW_38ff3f5d,LALITPUR,weak,weak,0.0,0.0,-1.4561076801778254,-1.3098864169871742,0.4724512182929833,0.5113086761583752,-1.0,-1.0,0.0,0.0,True,True,5.26
Abdullahpur Primary School -Medium_UPGW_ded94f81,MEERUT,reliable,directional,0.985858585858586,0.9388888888888888,0.9065767871199332,0.9291257644816824,0.0591633891007647,0.0711663796855178,-0.8918664358785373,-7.693227762805851,0.1539455999168122,0.4316997887454404,True,True,0.8160000000000025
Abhauli (UP-153)_UPGW_dc3fb35c,SANT RAVIDAS NAGAR,reliable,directional,0.878319783197832,0.926558265582656,0.9985780317733788,0.9966300809459686,0.0087404014297394,0.0134763663767372,-1.4791216666404314,-1.5034248833130317,0.1876925693422849,0.1904465063794286,True,True,2.7200000000000006
Adari_2_UPGW_2d068539,BANDA,weak,weak,0.0,0.0888888888888888,0.9530910132923126,0.9462202874039616,0.0580375394841305,0.0967568041892514,-1.0,-1.566191734593953,0.0,0.6503005214206151,True,True,51.39
"Adarsh Primary School, Dubar Kalan_UPGW_fdc21585",MIRZAPUR,directional,weak,0.9813492063492064,0.6303921568627451,0.9165251712368075,0.6332105137202885,0.0573796197310578,0.118498441794968,-2.366442859408503,-4.906620453992545,0.1910873193039562,0.2478069779863604,True,True,3.514
Agan Wadi Kendra Kuchendu_UPGW_1c2dd704,BANDA,directional,directional,1.0,0.9984126984126984,0.9948982212677362,0.9924349179001484,0.0228464293366552,0.0310768648086738,-1.233262312982438,-2.370420088109623,0.2683410363309439,0.39200659845968,True,True,15.992
Aganwadi Kendra Rupauli_UPGW_39b7f054,CHITRAKOOT,directional,directional,1.0,0.9266666666666666,-0.6226158175399656,0.7888605408915229,0.3580168336283404,0.136002858147494,-1.6598664932036966,-1328.4369407234924,0.2447182436473802,5.750047093486798,True,False,0.2200000000000006
Agra City (UP-017)_UPGW_cb3c78f2,AGRA,weak,reliable,0.6138888888888889,0.932748538011696,0.9952718041445158,0.9542860938052136,0.0170797624767222,0.050180409610656,-0.0371627124344897,-0.5507785383444748,0.1291559844452793,0.1489845792597631,True,True,1.5670000000000002
Ahmad Ganj_UPGW_19c70a1d,CHITRAKOOT,reliable,weak,0.8264367816091954,0.3383838383838384,0.9870935328203252,0.9793660615510476,0.0529618542599701,0.0519748315715475,-0.2783917395714139,-1.9596764878592308,0.2768454968034148,0.323065747654385,True,True,43.36
Ahmadpur Savant (UP-163)_UPGW_63ce1705,SAHARANPUR,reliable,reliable,0.9357723577235773,0.9070048309178744,0.9692632141898616,0.9859789161019894,0.0322742923533738,0.024660520975339,-0.6964570384901603,-1.1670793319698274,0.123628971684464,0.1572398524479856,True,True,5.439000000000001
Airayan  (UP-023)_UPGW_2afb4452,FATEHPUR,weak,reliable,0.7281323877068558,0.9211328976034858,0.9867743134153238,0.9687484230728696,0.0291736595349842,0.0311472378722687,-0.7428111024452595,-3.487533368221423,0.171243594622298,0.1902835722409523,True,True,5.807000000000002
Alakchandra Inter college Bhinga_UPGW_e3ab1600,SHRAWASTI,reliable,directional,0.8155555555555556,0.9648148148148148,0.9913685156209427,0.6372994533575496,0.0284823614130301,0.0955850054542136,-0.1852241173709183,-3.4637355869956945,0.1734264644944735,0.1739604939006382,True,True,2.5620000000000003
Aligarh Chandaus  Somana_UPGW_c3961686,AGRA,directional,reliable,1.0,0.8059259259259259,0.9615019810169996,0.9590873316986538,0.0384002859345285,0.0391350066495256,-1.0064889647530078,-2.231487384538958,0.1487550135893996,0.1820839724783504,True,True,4.161
Aligarh Chandaus Chuharpur_UPGW_d3881f9c,AGRA,directional,weak,1.0,0.5973180076628353,0.9851955297041612,0.966454279502702,0.0275005582191391,0.0456254798602703,0.1199968285557471,-2.066318190035564,0.1129070523576766,0.2292687543655136,True,True,2.1950000000000003
Aligarh Chandaus Lohput_UPGW_39619e20,AGRA,weak,weak,0.3666666666666666,0.3666666666666666,0.9167881530332848,0.9167881530332848,0.0721407377856953,0.0721407377856953,-2.132619900778224,-2.132619900778224,0.36290945452018,0.36290945452018,False,False,0.7070000000000007
Aligarh Chandaus Maharajpur_UPGW_cbcbe904,AGRA,directional,directional,1.0,0.8574074074074074,0.9621765201615052,0.957349935921303,0.0461011537774832,0.0488448821955651,-1.246343418426688,-6.815215813752995,0.1894483082793799,0.345447116602813,True,True,1.7910000000000004
Aligarh Gonda Chuhurpur Kinala_UPGW_eae773c6,AGRA,reliable,reliable,0.943939393939394,0.8097777777777778,0.9592054012376428,0.985318812841053,0.0514307040806045,0.0387688193476872,-1.2822457319279938,-0.0193512452838724,0.2065797738265226,0.1714815050515602,True,True,3.681
Aligarh Jawa Bahadurpur Kota_UPGW_8302d1d4,AGRA,directional,reliable,1.0,0.8602150537634409,0.934848039880286,0.9010941802137904,0.0275977279472508,0.0922658259655117,-3.752807082760402,0.008916333749727,0.1247485456198352,0.1522360864488345,True,True,2.4670000000000005
Aligarh Jawa Jamalpur Siya_UPGW_f9f0b692,AGRA,directional,weak,1.0,0.5434343434343434,0.9865418787712156,0.9828086096763148,0.0198811242404721,0.030961680506029,-0.6388515813716054,-3.048989811937507,0.1146831033193267,0.2481456412882102,True,True,2.116
Aligarh Jawa Sogera_UPGW_5e02ab57,AGRA,directional,reliable,1.0,0.774910394265233,0.9697608354952052,0.991222081037176,0.0240366297874455,0.0195063887246829,-0.4397376973486468,-1.0711806471126537,0.0874136225434688,0.1564877360402461,True,True,3.901
Aligarh Khair Arrana_UPGW_6bbb8ebf,AGRA,directional,reliable,1.0,0.7666666666666667,0.9823368268035196,0.963933563508319,0.0265969752398905,0.0353370715786489,-0.2020967053441289,-2.5652975870176205,0.1164718459419923,0.1832506897290529,True,True,3.628
Aligarh Khair Utwara_UPGW_26a8dfc7,AGRA,directional,reliable,0.994238683127572,0.825,0.9844811337943704,0.9708752720220788,0.0237112618095277,0.033095504510879,-0.0394244150054676,-2.933935947117797,0.1015909697685149,0.1994003634942533,True,True,2.405
Aligarh Lodha Aisi Kol_UPGW_6478a226,AGRA,reliable,reliable,0.7924603174603174,0.8041269841269841,0.7077253335396365,0.948820224852496,0.0914388059830062,0.0587461203630391,-5.57964463609371,-0.8652041061263995,0.2261940590275769,0.1843328290903445,True,True,2.0159999999999982
