slug,true_max,kept_max,n_kept,n_dropped,ok,reason
390713- Jairampur PMS -Shallow_UPGW_dae67f3f,2026-05-30 00:00:00,2026-05-30 00:00:00,2026,44,True,
750128- PMS Sulemapur -Medium_UPGW_df2d1410,2025-08-14 18:00:00,2025-04-15 00:00:00,1301,206,False,"sentinel scan dropped tail (true_max 2025-08-14 18:00:00, kept_max 2025-04-15 00:00:00)"
750523- Kakalpur PMS -Medium_UPGW_0d39e8d9,2026-06-02 18:00:00,2026-06-02 18:00:00,1694,241,True,
750718- Primary Sch Matuka -Medium_UPGW_48d03f9d,2026-02-02 00:00:00,2026-02-02 00:00:00,2841,162,True,
750825- Primary Sch Shivrampur -Medium_UPGW_c0672bcb,2026-01-14 18:41:00,2026-01-14 18:41:00,1713,189,True,
ASHADHA PRATHMIK VIDYALAYA_UPGW_5f5b3671,2026-08-28 12:00:00,2026-08-28 12:00:00,4105,309,True,
Aadarsh Kisaan Inter College Bhabhuwa_UPGW_7154da63,2026-08-15 18:00:00,2026-08-15 18:00:00,972,261,True,
Aadarsh Prathmik Vidhyalaya Mahua_UPGW_eaeeb30a,2026-08-15 18:00:00,2026-08-15 18:00:00,2237,262,True,
Aagan Waadi Kender Dwarkapur_UPGW_239fec31,2026-08-15 18:00:00,2026-08-15 18:00:00,2199,272,True,
Aagan Wadi Kendra Chandni_UPGW_7ceead1b,2026-08-30 18:00:00,2026-08-30 18:00:00,2416,364,True,
Aaganwadi Kender Kakrawali_UPGW_a060205f,2026-08-30 18:00:00,2026-08-30 18:00:00,1728,336,True,
Aaganwadi Kender Khanjarpur_UPGW_21679f87,2026-08-15 18:00:00,2026-08-15 18:00:00,1620,210,True,
Aaganwadi Kendra Pakri Bazaar_UPGW_e5c3ae90,2026-08-30 18:00:00,2026-08-30 06:00:00,2306,417,True,
Aanganwadi Kendra_UPGW_af5faaa7,2026-07-23 12:00:00,2026-07-23 12:00:00,3035,263,True,
"Aanganwadi kendra, Barhara_UPGW_d575ae21",2026-07-23 06:00:00,2026-07-21 12:00:00,1969,1312,True,
Aanganwadi kendra_UPGW_5d843c8d,2026-07-23 06:00:00,2026-07-23 06:00:00,2702,1159,True,
Aasao Pura_UPGW_38ff3f5d,2026-08-30 18:00:00,2026-08-28 00:00:00,263,4509,True,
Abdullahpur Primary School -Medium_UPGW_ded94f81,2026-05-30 00:00:00,2026-05-30 00:00:00,2157,256,True,
Abhauli (UP-153)_UPGW_dc3fb35c,2026-02-08 00:00:00,2026-02-07 06:00:00,4960,195,True,
Adari_2_UPGW_2d068539,2026-08-30 18:00:00,2026-08-24 06:00:00,494,4380,True,
"Adarsh Primary School, Dubar Kalan_UPGW_fdc21585",2026-08-28 12:00:00,2026-08-28 12:00:00,4155,208,True,
Agan Wadi Kendra Kuchendu_UPGW_1c2dd704,2026-08-30 18:00:00,2025-07-16 18:00:00,1125,1626,False,"sentinel scan dropped tail (true_max 2026-08-30 18:00:00, kept_max 2025-07-16 18:00:00)"
Aganwadi Kendra Rupauli_UPGW_39b7f054,2026-07-23 12:00:00,2026-07-23 12:00:00,2554,1345,True,
Agra City (UP-017)_UPGW_cb3c78f2,2026-05-30 06:00:00,2026-05-30 06:00:00,6665,102,True,
Ahmad Ganj_UPGW_19c70a1d,2026-08-26 06:00:00,2026-08-26 06:00:00,3997,212,True,
Ahmadpur Savant (UP-163)_UPGW_63ce1705,2026-06-03 18:00:00,2026-06-03 18:00:00,5445,119,True,
Airayan  (UP-023)_UPGW_2afb4452,2026-05-30 00:00:00,2026-05-30 00:00:00,5962,635,True,
Alakchandra Inter college Bhinga_UPGW_e3ab1600,2026-08-28 12:00:00,2026-08-28 12:00:00,4356,200,True,
Aligarh Chandaus  Somana_UPGW_c3961686,2026-08-24 00:00:00,2026-08-23 18:00:00,3698,558,True,
Aligarh Chandaus Chuharpur_UPGW_d3881f9c,2026-08-30 18:00:00,2026-08-30 18:00:00,3603,495,True,
Aligarh Chandaus Lohput_UPGW_39619e20,2025-12-03 06:00:00,2025-12-03 06:00:00,601,1,True,
